wavenumber,intensity
77.3545,0.0000
80.4019,584.0000
83.4475,610.0000
86.4914,591.0000
89.5335,565.0000
92.5738,562.0000
95.6123,560.0000
98.6491,553.0000
101.6840,544.0000
104.7170,548.0000
107.7490,677.0000
110.7790,671.0000
113.8060,549.0000
116.8330,566.0000
119.8570,591.0000
122.8800,596.0000
125.9010,589.0000
128.9200,623.0000
131.9370,627.0000
134.9530,618.0000
137.9670,642.0000
140.9790,623.0000
143.9890,639.0000
146.9980,645.0000
150.0040,706.0000
153.0100,727.0000
156.0130,657.0000
159.0140,664.0000
162.0140,690.0000
165.0120,693.0000
168.0090,691.0000
171.0030,691.0000
173.9960,686.0000
176.9870,704.0000
179.9760,739.0000
182.9640,778.0000
185.9500,781.0000
188.9340,770.0000
191.9160,764.0000
194.8970,771.0000
197.8760,783.0000
200.8530,793.0000
203.8280,817.0000
206.8020,825.0000
209.7740,835.0000
212.7440,859.0000
215.7130,881.0000
218.6790,899.0000
221.6440,888.0000
224.6070,869.0000
227.5690,882.0000
230.5290,895.0000
233.4870,891.0000
236.4430,916.0000
239.3980,925.0000
242.3510,911.0000
245.3020,934.0000
248.2510,945.0000
251.1990,923.0000
254.1450,935.0000
257.0890,967.0000
260.0310,1043.0000
262.9720,1029.0000
265.9110,935.0000
268.8490,926.0000
271.7840,932.0000
274.7180,921.0000
277.6500,925.0000
280.5810,922.0000
283.5100,920.0000
286.4370,980.0000
289.3620,978.0000
292.2850,910.0000
295.2070,916.0000
298.1280,903.0000
301.0460,901.0000
303.9630,927.0000
306.8780,920.0000
309.7910,917.0000
312.7030,918.0000
315.6130,907.0000
318.5210,900.0000
321.4270,897.0000
324.3320,943.0000
327.2350,971.0000
330.1370,914.0000
333.0360,899.0000
335.9340,908.0000
338.8310,908.0000
341.7250,996.0000
344.6180,992.0000
347.5090,897.0000
350.3990,894.0000
353.2870,904.0000
356.1730,917.0000
359.0570,904.0000
361.9400,917.0000
364.8210,947.0000
367.7000,952.0000
370.5780,969.0000
373.4540,966.0000
376.3280,983.0000
379.2000,977.0000
382.0710,918.0000
384.9410,1043.0000
387.8080,1090.0000
390.6740,976.0000
393.5380,963.0000
396.4000,969.0000
399.2610,960.0000
402.1200,950.0000
404.9780,967.0000
407.8330,977.0000
410.6870,974.0000
413.5400,977.0000
416.3910,1045.0000
419.2400,1032.0000
422.0870,955.0000
424.9330,949.0000
427.7760,949.0000
430.6190,964.0000
433.4590,967.0000
436.2980,945.0000
439.1360,1035.0000
441.9710,1063.0000
444.8050,966.0000
447.6380,960.0000
450.4680,965.0000
453.2970,942.0000
456.1240,936.0000
458.9500,928.0000
461.7740,955.0000
464.5960,977.0000
467.4170,940.0000
470.2360,934.0000
473.0530,961.0000
475.8690,995.0000
478.6830,1000.0000
481.4950,1016.0000
484.3060,1024.0000
487.1150,1066.0000
489.9220,1068.0000
492.7280,1012.0000
495.5320,1003.0000
498.3340,1013.0000
501.1350,992.0000
503.9340,956.0000
506.7320,958.0000
509.5270,941.0000
512.3210,951.0000
515.1140,963.0000
517.9050,941.0000
520.6940,933.0000
523.4820,936.0000
526.2670,931.0000
529.0520,1014.0000
531.8340,1011.0000
534.6150,933.0000
537.3950,933.0000
540.1720,927.0000
542.9480,946.0000
545.7230,977.0000
548.4960,969.0000
551.2670,964.0000
554.0360,977.0000
556.8040,944.0000
559.5700,941.0000
562.3350,941.0000
565.0980,904.0000
567.8590,915.0000
570.6190,945.0000
573.3770,945.0000
576.1330,948.0000
578.8880,945.0000
581.6410,942.0000
584.3930,962.0000
587.1430,941.0000
589.8910,911.0000
592.6380,917.0000
595.3830,930.0000
598.1260,934.0000
600.8680,940.0000
603.6080,928.0000
606.3470,918.0000
609.0840,934.0000
611.8190,914.0000
614.5530,898.0000
617.2850,911.0000
620.0150,922.0000
622.7440,927.0000
625.4710,927.0000
628.1970,945.0000
630.9210,942.0000
633.6440,923.0000
636.3640,929.0000
639.0840,921.0000
641.8010,914.0000
644.5170,902.0000
647.2310,919.0000
649.9440,912.0000
652.6550,857.0000
655.3650,878.0000
658.0730,904.0000
660.7790,898.0000
663.4840,904.0000
666.1870,933.0000
668.8880,950.0000
671.5880,950.0000
674.2870,943.0000
676.9830,972.0000
679.6790,1026.0000
682.3720,1016.0000
685.0640,973.0000
687.7540,944.0000
690.4430,942.0000
693.1300,926.0000
695.8160,905.0000
698.5000,902.0000
701.1820,893.0000
703.8630,892.0000
706.5420,901.0000
709.2200,913.0000
711.8960,898.0000
714.5700,873.0000
717.2430,881.0000
719.9140,887.0000
722.5840,883.0000
725.2520,871.0000
727.9190,883.0000
730.5840,890.0000
733.2470,874.0000
735.9090,901.0000
738.5690,940.0000
741.2270,972.0000
743.8840,969.0000
746.5400,990.0000
749.1940,1019.0000
751.8460,1000.0000
754.4970,950.0000
757.1460,912.0000
759.7940,882.0000
762.4400,862.0000
765.0840,882.0000
767.7270,897.0000
770.3680,897.0000
773.0080,883.0000
775.6460,869.0000
778.2830,866.0000
780.9180,869.0000
783.5510,862.0000
786.1830,841.0000
788.8130,839.0000
791.4420,854.0000
794.0690,861.0000
796.6950,843.0000
799.3190,815.0000
801.9420,866.0000
804.5630,870.0000
807.1820,832.0000
809.8000,837.0000
812.4160,824.0000
815.0310,820.0000
817.6440,831.0000
820.2560,817.0000
822.8660,840.0000
825.4750,858.0000
828.0820,830.0000
830.6870,820.0000
833.2910,817.0000
835.8930,839.0000
838.4940,839.0000
841.0930,855.0000
843.6910,866.0000
846.2870,832.0000
848.8820,835.0000
851.4750,847.0000
854.0660,841.0000
856.6560,829.0000
859.2450,829.0000
861.8320,845.0000
864.4170,852.0000
867.0010,842.0000
869.5830,819.0000
872.1640,813.0000
874.7430,819.0000
877.3210,813.0000
879.8970,828.0000
882.4720,834.0000
885.0450,803.0000
887.6160,796.0000
890.1870,796.0000
892.7550,796.0000
895.3220,797.0000
897.8870,833.0000
900.4510,827.0000
903.0140,789.0000
905.5750,790.0000
908.1340,806.0000
910.6920,799.0000
913.2480,788.0000
915.8030,812.0000
918.3560,804.0000
920.9080,773.0000
923.4580,777.0000
926.0070,769.0000
928.5540,757.0000
931.1000,776.0000
933.6440,776.0000
936.1860,786.0000
938.7280,775.0000
941.2670,778.0000
943.8050,780.0000
946.3420,773.0000
948.8770,819.0000
951.4100,823.0000
953.9430,799.0000
956.4730,803.0000
959.0020,798.0000
961.5300,773.0000
964.0560,768.0000
966.5800,766.0000
969.1030,761.0000
971.6250,760.0000
974.1450,744.0000
976.6630,740.0000
979.1800,746.0000
981.6960,769.0000
984.2100,815.0000
986.7220,801.0000
989.2330,773.0000
991.7430,755.0000
994.2510,755.0000
996.7570,784.0000
999.2620,764.0000
1001.7700,771.0000
1004.2700,786.0000
1006.7700,779.0000
1009.2700,770.0000
1011.7700,748.0000
1014.2600,740.0000
1016.7600,739.0000
1019.2500,745.0000
1021.7400,740.0000
1024.2300,724.0000
1026.7200,726.0000
1029.2100,752.0000
1031.6900,751.0000
1034.1800,722.0000
1036.6600,728.0000
1039.1400,729.0000
1041.6200,719.0000
1044.1000,716.0000
1046.5800,711.0000
1049.0500,708.0000
1051.5200,705.0000
1054.0000,694.0000
1056.4700,693.0000
1058.9400,698.0000
1061.4000,707.0000
1063.8700,706.0000
1066.3400,702.0000
1068.8000,691.0000
1071.2600,688.0000
1073.7200,717.0000
1076.1800,707.0000
1078.6400,680.0000
1081.1000,682.0000
1083.5500,705.0000
1086.0000,695.0000
1088.4600,656.0000
1090.9100,665.0000
1093.3500,732.0000
1095.8000,746.0000
1098.2500,692.0000
1100.6900,694.0000
1103.1400,713.0000
1105.5800,683.0000
1108.0200,688.0000
1110.4600,718.0000
1112.8900,729.0000
1115.3300,727.0000
1117.7600,686.0000
1120.2000,663.0000
1122.6300,667.0000
1125.0600,673.0000
1127.4900,672.0000
1129.9100,681.0000
1132.3400,688.0000
1134.7600,689.0000
1137.1900,717.0000
1139.6100,734.0000
1142.0300,735.0000
1144.4400,737.0000
1146.8600,738.0000
1149.2800,721.0000
1151.6900,687.0000
1154.1000,671.0000
1156.5200,665.0000
1158.9200,675.0000
1161.3300,696.0000
1163.7400,675.0000
1166.1500,647.0000
1168.5500,649.0000
1170.9500,654.0000
1173.3500,658.0000
1175.7500,666.0000
1178.1500,670.0000
1180.5500,664.0000
1182.9400,653.0000
1185.3400,668.0000
1187.7300,702.0000
1190.1200,689.0000
1192.5100,672.0000
1194.9000,681.0000
1197.2900,694.0000
1199.6700,695.0000
1202.0500,686.0000
1204.4400,678.0000
1206.8200,688.0000
1209.2000,687.0000
1211.5800,718.0000
1213.9500,715.0000
1216.3300,676.0000
1218.7000,666.0000
1221.0800,638.0000
1223.4500,635.0000
1225.8200,638.0000
1228.1800,634.0000
1230.5500,659.0000
1232.9200,645.0000
1235.2800,635.0000
1237.6400,646.0000
1240.0100,634.0000
1242.3600,633.0000
1244.7200,613.0000
1247.0800,638.0000
1249.4400,645.0000
1251.7900,629.0000
1254.1400,637.0000
1256.4900,630.0000
1258.8400,651.0000
1261.1900,653.0000
1263.5400,627.0000
1265.8900,627.0000
1268.2300,618.0000
1270.5700,621.0000
1272.9200,626.0000
1275.2600,613.0000
1277.5900,627.0000
1279.9300,638.0000
1282.2700,633.0000
1284.6000,657.0000
1286.9400,662.0000
1289.2700,638.0000
1291.6000,629.0000
1293.9300,616.0000
1296.2600,627.0000
1298.5800,649.0000
1300.9100,645.0000
1303.2300,640.0000
1305.5500,645.0000
1307.8700,638.0000
1310.1900,631.0000
1312.5100,645.0000
1314.8300,633.0000
1317.1400,618.0000
1319.4600,633.0000
1321.7700,617.0000
1324.0800,611.0000
1326.3900,626.0000
1328.7000,630.0000
1331.0000,665.0000
1333.3100,695.0000
1335.6100,745.0000
1337.9200,769.0000
1340.2200,732.0000
1342.5200,734.0000
1344.8200,714.0000
1347.1100,667.0000
1349.4100,646.0000
1351.7000,634.0000
1354.0000,642.0000
1356.2900,630.0000
1358.5800,597.0000
1360.8700,593.0000
1363.1600,590.0000
1365.4400,578.0000
1367.7300,575.0000
1370.0100,580.0000
1372.2900,584.0000
1374.5800,596.0000
1376.8500,586.0000
1379.1300,567.0000
1381.4100,591.0000
1383.6900,589.0000
1385.9600,575.0000
1388.2300,582.0000
1390.5000,585.0000
1392.7700,583.0000
1395.0400,575.0000
1397.3100,576.0000
1399.5800,575.0000
1401.8400,569.0000
1404.1000,577.0000
1406.3700,560.0000
1408.6300,551.0000
1410.8900,575.0000
1413.1400,571.0000
1415.4000,578.0000
1417.6600,577.0000
1419.9100,574.0000
1422.1600,600.0000
1424.4100,596.0000
1426.6600,573.0000
1428.9100,564.0000
1431.1600,571.0000
1433.4000,578.0000
1435.6500,606.0000
1437.8900,607.0000
1440.1300,581.0000
1442.3700,564.0000
1444.6100,572.0000
1446.8500,597.0000
1449.0900,600.0000
1451.3200,600.0000
1453.5600,588.0000
1455.7900,576.0000
1458.0200,571.0000
1460.2500,574.0000
1462.4800,543.0000
1464.7100,533.0000
1466.9300,550.0000
1469.1600,531.0000
1471.3800,546.0000
1473.6000,553.0000
1475.8200,526.0000
1478.0400,532.0000
1480.2600,545.0000
1482.4700,529.0000
1484.6900,524.0000
1486.9000,533.0000
1489.1200,541.0000
1491.3300,529.0000
1493.5400,507.0000
1495.7500,537.0000
1497.9500,545.0000
1500.1600,526.0000
1502.3600,525.0000
1504.5700,529.0000
1506.7700,551.0000
1508.9700,557.0000
1511.1700,526.0000
1513.3700,535.0000
1515.5700,575.0000
1517.7600,602.0000
1519.9500,669.0000
1522.1500,727.0000
1524.3400,830.0000
1526.5300,849.0000
1528.7200,751.0000
1530.9100,701.0000
1533.0900,648.0000
1535.2800,607.0000
1537.4600,593.0000
1539.6400,571.0000
1541.8300,569.0000
1544.0100,570.0000
1546.1800,536.0000
1548.3600,520.0000
1550.5400,596.0000
1552.7100,593.0000
1554.8900,513.0000
1557.0600,592.0000
1559.2300,583.0000
1561.4000,510.0000
1563.5700,522.0000
1565.7300,517.0000
1567.9000,506.0000
1570.0600,495.0000
1572.2300,500.0000
1574.3900,507.0000
1576.5500,500.0000
1578.7100,503.0000
1580.8700,511.0000
1583.0200,501.0000
1585.1800,495.0000
1587.3300,512.0000
1589.4900,513.0000
1591.6400,501.0000
1593.7900,511.0000
1595.9400,496.0000
1598.0800,496.0000
1600.2300,499.0000
1602.3800,501.0000
1604.5200,524.0000
1606.6600,514.0000
1608.8000,501.0000
1610.9400,509.0000
1613.0800,489.0000
1615.2200,488.0000
1617.3600,498.0000
1619.4900,487.0000
1621.6200,490.0000
1623.7600,487.0000
1625.8900,490.0000
1628.0200,486.0000
1630.1500,490.0000
1632.2700,491.0000
1634.4000,470.0000
1636.5300,502.0000
1638.6500,500.0000
1640.7700,474.0000
1642.8900,502.0000
1645.0100,555.0000
1647.1300,550.0000
1649.2500,497.0000
1651.3600,507.0000
1653.4800,492.0000
1655.5900,472.0000
1657.7100,476.0000
1659.8200,480.0000
1661.9300,474.0000
1664.0400,482.0000
1666.1400,497.0000
1668.2500,465.0000
1670.3500,466.0000
1672.4600,485.0000
1674.5600,499.0000
1676.6600,475.0000
1678.7600,456.0000
1680.8600,486.0000
1682.9600,492.0000
1685.0500,472.0000
1687.1500,460.0000
1689.2400,451.0000
1691.3300,472.0000
1693.4200,497.0000
1695.5100,487.0000
1697.6000,480.0000
1699.6900,455.0000
1701.7800,475.0000
1703.8600,480.0000
1705.9500,463.0000
1708.0300,483.0000
1710.1100,484.0000
1712.1900,479.0000
1714.2700,477.0000
1716.3500,473.0000
1718.4200,483.0000
1720.5000,479.0000
1722.5700,456.0000
1724.6400,530.0000
1726.7200,532.0000
1728.7900,454.0000
1730.8500,459.0000
1732.9200,459.0000
1734.9900,446.0000
1737.0500,441.0000
1739.1200,444.0000
1741.1800,438.0000
1743.2400,440.0000
1745.3000,446.0000
1747.3600,440.0000
1749.4200,437.0000
1751.4800,453.0000
1753.5300,460.0000
1755.5900,463.0000
1757.6400,455.0000
1759.6900,437.0000
1761.7400,457.0000
1763.7900,443.0000
1765.8400,419.0000
1767.8900,432.0000
1769.9300,425.0000
1771.9800,436.0000
1774.0200,452.0000
1776.0700,444.0000
1778.1100,436.0000
1780.1500,435.0000
1782.1900,443.0000
1784.2200,438.0000
1786.2600,416.0000
1788.2900,416.0000
1790.3300,447.0000
1792.3600,450.0000
1794.3900,429.0000
1796.4200,422.0000
1798.4500,449.0000
1800.4800,436.0000
1802.5100,408.0000
1804.5300,426.0000
1806.5600,428.0000
1808.5800,426.0000
1810.6000,427.0000
1812.6200,407.0000
1814.6400,395.0000
1816.6600,417.0000
1818.6800,428.0000
1820.6900,415.0000
1822.7100,404.0000
1824.7200,430.0000
1826.7300,439.0000
1828.7500,407.0000
1830.7600,401.0000
1832.7600,434.0000
1834.7700,444.0000
1836.7800,420.0000
1838.7800,405.0000
1840.7900,404.0000
1842.7900,416.0000
1844.7900,417.0000
1846.7900,408.0000
1848.7900,430.0000
1850.7900,438.0000
1852.7900,402.0000
1854.7900,404.0000
1856.7800,430.0000
1858.7700,432.0000
1860.7700,420.0000
1862.7600,417.0000
1864.7500,438.0000
