wavenumber,intensity
170.0000,789.6699
171.0000,823.1750
172.0000,849.7230
173.0000,868.1041
174.0000,881.9473
175.0000,893.8288
176.0000,905.6964
177.0000,920.8751
178.0000,937.8093
179.0000,956.9115
180.0000,975.6021
181.0000,991.3815
182.0000,1004.4221
183.0000,1012.8958
184.0000,1020.3046
185.0000,1030.3743
186.0000,1040.6051
187.0000,1050.5719
188.0000,1057.7758
189.0000,1058.5887
190.0000,1055.9734
191.0000,1050.1427
192.0000,1045.7181
193.0000,1049.2166
194.0000,1055.1649
195.0000,1061.8533
196.0000,1064.5090
197.0000,1056.9145
198.0000,1041.6946
199.0000,1016.6773
200.0000,990.0353
201.0000,969.5081
202.0000,954.2237
203.0000,947.4907
204.0000,944.5078
205.0000,942.1434
206.0000,938.6973
207.0000,929.8471
208.0000,920.3271
209.0000,912.9344
210.0000,909.1575
211.0000,912.9497
212.0000,919.7139
213.0000,926.9783
214.0000,932.3221
215.0000,931.6580
216.0000,927.5145
217.0000,921.3039
218.0000,912.2868
219.0000,900.6935
220.0000,885.0275
221.0000,863.0380
222.0000,837.2180
223.0000,808.1779
224.0000,779.3153
225.0000,754.8977
226.0000,732.9265
227.0000,712.5627
228.0000,694.5955
229.0000,680.0437
230.0000,667.3788
231.0000,655.8755
232.0000,644.1422
233.0000,629.8425
234.0000,615.0852
235.0000,600.1460
236.0000,588.1870
237.0000,581.8937
238.0000,582.9720
239.0000,595.4899
240.0000,615.0474
241.0000,640.4318
242.0000,666.1486
243.0000,683.8472
244.0000,700.8826
245.0000,721.5186
246.0000,746.6779
247.0000,779.1518
248.0000,817.5970
249.0000,862.3518
250.0000,911.1627
251.0000,962.6331
252.0000,1014.5314
253.0000,1062.2012
254.0000,1111.5211
255.0000,1169.0649
256.0000,1228.0923
257.0000,1285.2803
258.0000,1336.9510
259.0000,1375.2289
260.0000,1409.3849
261.0000,1447.0255
262.0000,1485.2698
263.0000,1520.2825
264.0000,1562.5320
265.0000,1622.1902
266.0000,1696.3104
267.0000,1790.5726
268.0000,1889.2689
269.0000,1977.0850
270.0000,2058.5195
271.0000,2132.4065
272.0000,2200.4258
273.0000,2264.2730
274.0000,2322.7356
275.0000,2376.2869
276.0000,2421.5659
277.0000,2456.5369
278.0000,2477.6985
279.0000,2480.1560
280.0000,2466.0532
281.0000,2436.8430
282.0000,2389.7029
283.0000,2322.4470
284.0000,2234.6194
285.0000,2122.5225
286.0000,1993.6952
287.0000,1851.6748
288.0000,1704.7679
289.0000,1560.5880
290.0000,1424.7510
291.0000,1306.5103
292.0000,1202.5675
293.0000,1115.0636
294.0000,1036.9340
295.0000,961.0757
296.0000,889.7447
297.0000,822.5296
298.0000,760.3284
299.0000,703.8386
300.0000,653.2496
301.0000,609.1720
302.0000,571.0389
303.0000,539.0184
304.0000,511.5164
305.0000,487.3950
306.0000,465.4534
