wavenumber,intensity
77.3545,0.0000
80.4019,584.0000
83.4475,615.0000
86.4914,601.0000
89.5335,584.0000
92.5738,578.0000
95.6123,583.0000
98.6491,588.0000
101.6840,586.0000
104.7170,599.0000
107.7490,734.0000
110.7790,734.0000
113.8060,599.0000
116.8330,618.0000
119.8570,687.0000
122.8800,727.0000
125.9010,722.0000
128.9200,776.0000
131.9370,814.0000
134.9530,825.0000
137.9670,846.0000
140.9790,850.0000
143.9890,898.0000
146.9980,920.0000
150.0040,996.0000
153.0100,1031.0000
156.0130,994.0000
159.0140,1021.0000
162.0140,1056.0000
165.0120,1094.0000
168.0090,1138.0000
171.0030,1156.0000
173.9960,1184.0000
176.9870,1259.0000
179.9760,1318.0000
182.9640,1364.0000
185.9500,1400.0000
188.9340,1448.0000
191.9160,1509.0000
194.8970,1574.0000
197.8760,1649.0000
200.8530,1691.0000
203.8280,1731.0000
206.8020,1797.0000
209.7740,1856.0000
212.7440,1913.0000
215.7130,1958.0000
218.6790,2002.0000
221.6440,2048.0000
224.6070,2101.0000
227.5690,2197.0000
230.5290,2289.0000
233.4870,2392.0000
236.4430,2581.0000
239.3980,2828.0000
242.3510,3203.0000
245.3020,3769.0000
248.2510,4424.0000
251.1990,5082.0000
254.1450,5588.0000
257.0890,5763.0000
260.0310,5626.0000
262.9720,5053.0000
265.9110,4259.0000
268.8490,3655.0000
271.7840,3191.0000
274.7180,2889.0000
277.6500,2748.0000
280.5810,2698.0000
283.5100,2715.0000
286.4370,2750.0000
289.3620,2709.0000
292.2850,2610.0000
295.2070,2554.0000
298.1280,2476.0000
301.0460,2393.0000
303.9630,2375.0000
306.8780,2347.0000
309.7910,2313.0000
312.7030,2311.0000
315.6130,2284.0000
318.5210,2269.0000
321.4270,2284.0000
324.3320,2368.0000
327.2350,2422.0000
330.1370,2445.0000
333.0360,2559.0000
335.9340,2703.0000
338.8310,2905.0000
341.7250,3152.0000
344.6180,3274.0000
347.5090,3253.0000
350.3990,3183.0000
353.2870,3067.0000
356.1730,2933.0000
359.0570,2780.0000
361.9400,2644.0000
364.8210,2555.0000
367.7000,2477.0000
370.5780,2466.0000
373.4540,2448.0000
376.3280,2456.0000
379.2000,2479.0000
382.0710,2431.0000
384.9410,2555.0000
387.8080,2606.0000
390.6740,2513.0000
393.5380,2484.0000
396.4000,2459.0000
399.2610,2443.0000
402.1200,2459.0000
404.9780,2492.0000
407.8330,2485.0000
410.6870,2463.0000
413.5400,2484.0000
416.3910,2555.0000
419.2400,2518.0000
422.0870,2451.0000
424.9330,2453.0000
427.7760,2457.0000
430.6190,2468.0000
433.4590,2465.0000
436.2980,2446.0000
439.1360,2521.0000
441.9710,2554.0000
444.8050,2460.0000
447.6380,2459.0000
450.4680,2476.0000
453.2970,2435.0000
456.1240,2411.0000
458.9500,2402.0000
461.7740,2445.0000
464.5960,2492.0000
467.4170,2482.0000
470.2360,2480.0000
473.0530,2483.0000
475.8690,2495.0000
478.6830,2472.0000
481.4950,2496.0000
484.3060,2533.0000
487.1150,2578.0000
489.9220,2586.0000
492.7280,2524.0000
495.5320,2534.0000
498.3340,2563.0000
501.1350,2570.0000
503.9340,2551.0000
506.7320,2530.0000
509.5270,2515.0000
512.3210,2518.0000
515.1140,2534.0000
517.9050,2516.0000
520.6940,2495.0000
523.4820,2498.0000
526.2670,2516.0000
529.0520,2608.0000
531.8340,2561.0000
534.6150,2471.0000
537.3950,2486.0000
540.1720,2463.0000
542.9480,2489.0000
545.7230,2535.0000
548.4960,2520.0000
551.2670,2503.0000
554.0360,2507.0000
556.8040,2497.0000
559.5700,2490.0000
562.3350,2497.0000
565.0980,2476.0000
567.8590,2456.0000
570.6190,2476.0000
573.3770,2510.0000
576.1330,2502.0000
578.8880,2457.0000
581.6410,2488.0000
584.3930,2547.0000
587.1430,2519.0000
589.8910,2494.0000
592.6380,2507.0000
595.3830,2499.0000
598.1260,2514.0000
600.8680,2545.0000
603.6080,2528.0000
606.3470,2520.0000
609.0840,2536.0000
611.8190,2504.0000
614.5530,2494.0000
617.2850,2501.0000
620.0150,2511.0000
622.7440,2535.0000
625.4710,2522.0000
628.1970,2531.0000
630.9210,2507.0000
633.6440,2477.0000
636.3640,2497.0000
639.0840,2468.0000
641.8010,2449.0000
644.5170,2455.0000
647.2310,2491.0000
649.9440,2508.0000
652.6550,2451.0000
655.3650,2434.0000
658.0730,2467.0000
660.7790,2466.0000
663.4840,2459.0000
666.1870,2458.0000
668.8880,2459.0000
671.5880,2460.0000
674.2870,2410.0000
676.9830,2407.0000
679.6790,2439.0000
682.3720,2436.0000
685.0640,2413.0000
687.7540,2420.0000
690.4430,2427.0000
693.1300,2401.0000
695.8160,2414.0000
698.5000,2430.0000
701.1820,2413.0000
703.8630,2408.0000
706.5420,2425.0000
709.2200,2422.0000
711.8960,2430.0000
714.5700,2423.0000
717.2430,2437.0000
719.9140,2448.0000
722.5840,2424.0000
725.2520,2421.0000
727.9190,2416.0000
730.5840,2424.0000
733.2470,2414.0000
735.9090,2427.0000
738.5690,2454.0000
741.2270,2442.0000
743.8840,2392.0000
746.5400,2380.0000
749.1940,2398.0000
751.8460,2409.0000
754.4970,2402.0000
757.1460,2377.0000
759.7940,2360.0000
762.4400,2345.0000
765.0840,2366.0000
767.7270,2362.0000
770.3680,2345.0000
773.0080,2350.0000
775.6460,2328.0000
778.2830,2317.0000
780.9180,2331.0000
783.5510,2332.0000
786.1830,2307.0000
788.8130,2290.0000
791.4420,2309.0000
794.0690,2325.0000
796.6950,2317.0000
799.3190,2295.0000
801.9420,2339.0000
804.5630,2319.0000
807.1820,2285.0000
809.8000,2308.0000
812.4160,2304.0000
815.0310,2280.0000
817.6440,2253.0000
820.2560,2270.0000
822.8660,2286.0000
825.4750,2286.0000
828.0820,2285.0000
830.6870,2266.0000
833.2910,2251.0000
835.8930,2271.0000
838.4940,2289.0000
841.0930,2306.0000
843.6910,2280.0000
846.2870,2256.0000
848.8820,2260.0000
851.4750,2267.0000
854.0660,2277.0000
856.6560,2281.0000
859.2450,2279.0000
861.8320,2293.0000
864.4170,2298.0000
867.0010,2289.0000
869.5830,2292.0000
872.1640,2266.0000
874.7430,2249.0000
877.3210,2277.0000
879.8970,2264.0000
882.4720,2259.0000
885.0450,2245.0000
887.6160,2193.0000
890.1870,2177.0000
892.7550,2200.0000
895.3220,2231.0000
897.8870,2251.0000
900.4510,2240.0000
903.0140,2182.0000
905.5750,2148.0000
908.1340,2163.0000
910.6920,2156.0000
913.2480,2136.0000
915.8030,2128.0000
918.3560,2103.0000
920.9080,2092.0000
923.4580,2107.0000
926.0070,2079.0000
928.5540,2049.0000
931.1000,2084.0000
933.6440,2098.0000
936.1860,2082.0000
938.7280,2066.0000
941.2670,2086.0000
943.8050,2092.0000
946.3420,2048.0000
948.8770,2069.0000
951.4100,2095.0000
953.9430,2098.0000
956.4730,2107.0000
959.0020,2098.0000
961.5300,2088.0000
964.0560,2087.0000
966.5800,2075.0000
969.1030,2070.0000
971.6250,2085.0000
974.1450,2102.0000
976.6630,2107.0000
979.1800,2079.0000
981.6960,2089.0000
984.2100,2153.0000
986.7220,2128.0000
989.2330,2095.0000
991.7430,2103.0000
994.2510,2091.0000
996.7570,2113.0000
999.2620,2108.0000
1001.7700,2122.0000
1004.2700,2124.0000
1006.7700,2104.0000
1009.2700,2069.0000
1011.7700,2050.0000
1014.2600,2071.0000
1016.7600,2046.0000
1019.2500,2037.0000
1021.7400,2050.0000
1024.2300,2050.0000
1026.7200,2052.0000
1029.2100,2067.0000
1031.6900,2053.0000
1034.1800,1993.0000
1036.6600,1979.0000
1039.1400,1992.0000
1041.6200,1997.0000
1044.1000,1990.0000
1046.5800,1949.0000
1049.0500,1938.0000
1051.5200,1920.0000
1054.0000,1904.0000
1056.4700,1901.0000
1058.9400,1904.0000
1061.4000,1926.0000
1063.8700,1923.0000
1066.3400,1899.0000
1068.8000,1881.0000
1071.2600,1880.0000
1073.7200,1902.0000
1076.1800,1895.0000
1078.6400,1848.0000
1081.1000,1870.0000
1083.5500,1905.0000
1086.0000,1881.0000
1088.4600,1851.0000
1090.9100,1881.0000
1093.3500,1936.0000
1095.8000,1928.0000
1098.2500,1876.0000
1100.6900,1875.0000
1103.1400,1882.0000
1105.5800,1855.0000
1108.0200,1831.0000
1110.4600,1852.0000
1112.8900,1898.0000
1115.3300,1895.0000
1117.7600,1861.0000
1120.2000,1855.0000
1122.6300,1852.0000
1125.0600,1844.0000
1127.4900,1857.0000
1129.9100,1853.0000
1132.3400,1840.0000
1134.7600,1831.0000
1137.1900,1842.0000
1139.6100,1855.0000
1142.0300,1852.0000
1144.4400,1845.0000
1146.8600,1850.0000
1149.2800,1849.0000
1151.6900,1816.0000
1154.1000,1794.0000
1156.5200,1788.0000
1158.9200,1804.0000
1161.3300,1827.0000
1163.7400,1799.0000
1166.1500,1763.0000
1168.5500,1783.0000
1170.9500,1778.0000
1173.3500,1772.0000
1175.7500,1774.0000
1178.1500,1754.0000
1180.5500,1736.0000
1182.9400,1708.0000
1185.3400,1717.0000
1187.7300,1758.0000
1190.1200,1739.0000
1192.5100,1732.0000
1194.9000,1745.0000
1197.2900,1713.0000
1199.6700,1703.0000
1202.0500,1716.0000
1204.4400,1721.0000
1206.8200,1744.0000
1209.2000,1745.0000
1211.5800,1769.0000
1213.9500,1763.0000
1216.3300,1737.0000
1218.7000,1747.0000
1221.0800,1726.0000
1223.4500,1730.0000
1225.8200,1717.0000
1228.1800,1713.0000
1230.5500,1740.0000
1232.9200,1739.0000
1235.2800,1740.0000
1237.6400,1733.0000
1240.0100,1712.0000
1242.3600,1707.0000
1244.7200,1686.0000
1247.0800,1719.0000
1249.4400,1726.0000
1251.7900,1702.0000
1254.1400,1707.0000
1256.4900,1702.0000
1258.8400,1736.0000
1261.1900,1724.0000
1263.5400,1670.0000
1265.8900,1677.0000
1268.2300,1675.0000
1270.5700,1673.0000
1272.9200,1665.0000
1275.2600,1635.0000
1277.5900,1661.0000
1279.9300,1676.0000
1282.2700,1661.0000
1284.6000,1673.0000
1286.9400,1689.0000
1289.2700,1660.0000
1291.6000,1640.0000
1293.9300,1643.0000
1296.2600,1634.0000
1298.5800,1626.0000
1300.9100,1621.0000
1303.2300,1605.0000
1305.5500,1582.0000
1307.8700,1576.0000
1310.1900,1584.0000
1312.5100,1587.0000
1314.8300,1576.0000
1317.1400,1557.0000
1319.4600,1566.0000
1321.7700,1545.0000
1324.0800,1519.0000
1326.3900,1543.0000
1328.7000,1531.0000
1331.0000,1543.0000
1333.3100,1553.0000
1335.6100,1572.0000
1337.9200,1585.0000
1340.2200,1539.0000
1342.5200,1539.0000
1344.8200,1521.0000
1347.1100,1506.0000
1349.4100,1523.0000
1351.7000,1532.0000
1354.0000,1551.0000
1356.2900,1541.0000
1358.5800,1525.0000
1360.8700,1523.0000
1363.1600,1524.0000
1365.4400,1504.0000
1367.7300,1475.0000
1370.0100,1496.0000
1372.2900,1520.0000
1374.5800,1521.0000
1376.8500,1515.0000
1379.1300,1490.0000
1381.4100,1502.0000
1383.6900,1499.0000
1385.9600,1493.0000
1388.2300,1521.0000
1390.5000,1527.0000
1392.7700,1515.0000
1395.0400,1501.0000
1397.3100,1502.0000
1399.5800,1497.0000
1401.8400,1476.0000
1404.1000,1491.0000
1406.3700,1486.0000
1408.6300,1465.0000
1410.8900,1499.0000
1413.1400,1493.0000
1415.4000,1492.0000
1417.6600,1508.0000
1419.9100,1486.0000
1422.1600,1487.0000
1424.4100,1456.0000
1426.6600,1421.0000
1428.9100,1446.0000
1431.1600,1464.0000
1433.4000,1444.0000
1435.6500,1458.0000
1437.8900,1462.0000
1440.1300,1416.0000
1442.3700,1393.0000
1444.6100,1401.0000
1446.8500,1391.0000
1449.0900,1366.0000
1451.3200,1376.0000
1453.5600,1366.0000
1455.7900,1356.0000
1458.0200,1373.0000
1460.2500,1375.0000
1462.4800,1343.0000
1464.7100,1340.0000
1466.9300,1334.0000
1469.1600,1320.0000
1471.3800,1332.0000
1473.6000,1338.0000
1475.8200,1337.0000
1478.0400,1327.0000
1480.2600,1306.0000
1482.4700,1307.0000
1484.6900,1313.0000
1486.9000,1320.0000
1489.1200,1315.0000
1491.3300,1295.0000
1493.5400,1292.0000
1495.7500,1325.0000
1497.9500,1339.0000
1500.1600,1316.0000
1502.3600,1303.0000
1504.5700,1300.0000
1506.7700,1332.0000
1508.9700,1347.0000
1511.1700,1294.0000
1513.3700,1286.0000
1515.5700,1304.0000
1517.7600,1276.0000
1519.9500,1298.0000
1522.1500,1318.0000
1524.3400,1377.0000
1526.5300,1380.0000
1528.7200,1271.0000
1530.9100,1261.0000
1533.0900,1273.0000
1535.2800,1264.0000
1537.4600,1305.0000
1539.6400,1301.0000
1541.8300,1292.0000
1544.0100,1307.0000
1546.1800,1276.0000
1548.3600,1263.0000
1550.5400,1327.0000
1552.7100,1321.0000
1554.8900,1249.0000
1557.0600,1330.0000
1559.2300,1321.0000
1561.4000,1227.0000
1563.5700,1223.0000
1565.7300,1228.0000
1567.9000,1229.0000
1570.0600,1210.0000
1572.2300,1202.0000
1574.3900,1207.0000
1576.5500,1205.0000
1578.7100,1216.0000
1580.8700,1210.0000
1583.0200,1185.0000
1585.1800,1185.0000
1587.3300,1209.0000
1589.4900,1204.0000
1591.6400,1186.0000
1593.7900,1202.0000
1595.9400,1183.0000
1598.0800,1178.0000
1600.2300,1183.0000
1602.3800,1185.0000
1604.5200,1187.0000
1606.6600,1162.0000
1608.8000,1158.0000
1610.9400,1181.0000
1613.0800,1164.0000
1615.2200,1144.0000
1617.3600,1157.0000
1619.4900,1149.0000
1621.6200,1141.0000
1623.7600,1151.0000
1625.8900,1141.0000
1628.0200,1130.0000
1630.1500,1147.0000
1632.2700,1164.0000
1634.4000,1149.0000
1636.5300,1154.0000
1638.6500,1138.0000
1640.7700,1118.0000
1642.8900,1146.0000
1645.0100,1210.0000
1647.1300,1203.0000
1649.2500,1145.0000
1651.3600,1151.0000
1653.4800,1124.0000
1655.5900,1112.0000
1657.7100,1117.0000
1659.8200,1133.0000
1661.9300,1151.0000
1664.0400,1134.0000
1666.1400,1130.0000
1668.2500,1108.0000
1670.3500,1100.0000
1672.4600,1107.0000
1674.5600,1118.0000
1676.6600,1111.0000
1678.7600,1099.0000
1680.8600,1116.0000
1682.9600,1107.0000
1685.0500,1082.0000
1687.1500,1085.0000
1689.2400,1062.0000
1691.3300,1067.0000
1693.4200,1096.0000
1695.5100,1081.0000
1697.6000,1073.0000
1699.6900,1043.0000
1701.7800,1054.0000
1703.8600,1066.0000
1705.9500,1061.0000
1708.0300,1058.0000
1710.1100,1043.0000
1712.1900,1045.0000
1714.2700,1025.0000
1716.3500,1015.0000
1718.4200,1051.0000
1720.5000,1056.0000
1722.5700,1018.0000
1724.6400,1075.0000
1726.7200,1079.0000
1728.7900,1001.0000
1730.8500,1009.0000
1732.9200,1016.0000
1734.9900,998.0000
1737.0500,987.0000
1739.1200,977.0000
1741.1800,975.0000
1743.2400,973.0000
1745.3000,965.0000
1747.3600,968.0000
1749.4200,974.0000
1751.4800,978.0000
1753.5300,978.0000
