wavelength,absorbance
1104.0,0.149118
1116.0,0.147104
1128.0,0.147891
1140.0,0.152115
1152.0,0.156144
1164.0,0.163285
1176.0,0.170708
1188.0,0.173447
1200.0,0.169442
1212.0,0.166241
1224.0,0.164380
1236.0,0.161836
1248.0,0.160073
1260.0,0.158920
1272.0,0.158171
1284.0,0.156995
1296.0,0.155299
1308.0,0.154075
1320.0,0.154775
1332.0,0.157389
1344.0,0.163080
1356.0,0.171060
1368.0,0.177135
1380.0,0.179134
1392.0,0.184593
1404.0,0.195673
1416.0,0.210498
1428.0,0.226081
1440.0,0.243757
1452.0,0.262562
1464.0,0.281047
1476.0,0.298039
1488.0,0.310869
1500.0,0.314641
1512.0,0.313505
1524.0,0.311637
1536.0,0.309139
1548.0,0.306565
1560.0,0.306296
1572.0,0.308060
1584.0,0.308157
1596.0,0.304685
1608.0,0.300662
1620.0,0.296727
1632.0,0.291479
1644.0,0.286649
1656.0,0.284103
1668.0,0.287809
1680.0,0.296219
1692.0,0.302052
1704.0,0.299873
1716.0,0.304382
1728.0,0.311389
1740.0,0.312979
1752.0,0.310802
1764.0,0.309726
1776.0,0.308342
1788.0,0.305256
1800.0,0.301465
1812.0,0.299284
1824.0,0.297817
1836.0,0.295212
1848.0,0.293696
1860.0,0.293419
1872.0,0.296586
1884.0,0.310384
1896.0,0.334647
1908.0,0.364121
1920.0,0.391717
1932.0,0.415455
1944.0,0.434874
1956.0,0.444157
1968.0,0.451321
1980.0,0.454402
1992.0,0.450308
2004.0,0.446064
2016.0,0.448058
2028.0,0.457604
2040.0,0.471919
2052.0,0.484253
2064.0,0.491445
2076.0,0.488114
2088.0,0.481294
2100.0,0.478222
2112.0,0.476727
2124.0,0.476431
2136.0,0.475949
2148.0,0.475132
2160.0,0.476345
2172.0,0.475390
2184.0,0.471379
2196.0,0.466640
2208.0,0.462751
2220.0,0.459504
2232.0,0.460091
2244.0,0.473625
2256.0,0.504603
2268.0,0.527340
2280.0,0.527957
2292.0,0.546494
2304.0,0.548743
2316.0,0.540482
2328.0,0.534340
2340.0,0.523804
2352.0,0.524260
2364.0,0.529471
2376.0,0.532058
2388.0,0.531274
2400.0,0.535875
2412.0,0.549058
2424.0,0.567736
2436.0,0.590592
2448.0,0.616303
2460.0,0.645819
2472.0,0.659561
2484.0,0.656992
2496.0,0.656052
