Wavelength (nm),Absorbance
1600.78,0.176984
1605.52,0.184031
1610.24,0.19272
1614.97,0.203767
1619.68,0.217406
1624.39,0.233565
1629.09,0.250519
1634.95,0.269555
1639.63,0.281193
1644.31,0.289667
1648.97,0.296945
1653.63,0.305121
1658.29,0.315552
1662.93,0.328358
1667.57,0.339953
1672.2,0.34372
1676.82,0.335308
1681.44,0.319609
1686.04,0.30461
1690.64,0.295795
1695.24,0.293578
1699.82,0.295913
1704.4,0.299663
1708.97,0.301678
1713.53,0.301001
1718.09,0.297507
1722.64,0.291977
1727.18,0.284558
1731.71,0.275486
1736.24,0.265083
1740.76,0.254629
1745.27,0.244991
1749.77,0.236873
1754.27,0.23026
1758.76,0.225524
1763.24,0.222332
1767.71,0.220706
1772.18,0.220429
1776.63,0.220706
1781.09,0.22115
1785.53,0.221253
1789.97,0.221004
1794.4,0.220597
1798.82,0.220083
1803.23,0.21962
1807.64,0.218318
1812.04,0.215916
1817.52,0.211692
1821.91,0.207842
1826.28,0.204928
1830.65,0.202524
1835.01,0.200854
1839.36,0.199649
1843.71,0.199054
1848.04,0.198424
1852.37,0.198386
1856.7,0.198031
1861.01,0.197428
1865.32,0.197401
1869.62,0.19761
1873.91,0.19838
1878.2,0.199043
1882.48,0.200268
1886.75,0.202321
1891.01,0.204542
1895.27,0.207631
1899.52,0.210352
1903.76,0.213161
1907.99,0.216096
1912.22,0.219339
1916.43,0.221669
1920.64,0.223678
1924.85,0.22432
1929.04,0.222278
1933.23,0.219347
1937.41,0.216153
1941.59,0.212416
1945.75,0.210155
1949.91,0.208441
1954.06,0.207241
1958.21,0.206129
1962.34,0.205461
1966.47,0.204642
1970.59,0.203973
1974.71,0.203559
1978.82,0.203937
1982.91,0.20499
1988.03,0.206319
1992.11,0.207479
1996.19,0.208053
2000.25,0.20811
2004.31,0.208328
2008.37,0.209006
2012.41,0.210023
2016.45,0.211394
2020.48,0.212688
2024.5,0.213201
2028.52,0.213331
2032.52,0.212804
2036.53,0.212027
2040.52,0.211843
2044.5,0.21232
2048.48,0.21349
2052.45,0.215345
2056.42,0.218159
2060.37,0.222301
2064.32,0.228026
2068.26,0.235321
2072.19,0.243515
2076.12,0.250857
2080.04,0.255999
2083.95,0.260093
2087.85,0.264352
2091.75,0.269525
2095.64,0.274582
2099.52,0.278089
2103.39,0.279506
2107.26,0.280579
2111.12,0.282061
2114.97,0.284964
2118.81,0.288803
2122.65,0.293197
2126.48,0.298425
2130.3,0.305354
2134.11,0.313865
2137.92,0.322551
2141.72,0.329916
2146.46,0.334967
2150.24,0.336685
2154.02,0.337736
2157.78,0.339948
2161.54,0.344164
2165.3,0.348661
2169.04,0.353619
2172.78,0.358477
2176.51,0.363984
2180.23,0.37073
2183.95,0.378676
2187.66,0.388303
2191.36,0.3987
2195.05,0.40952
2198.74,0.422184
2202.41,0.437168
2206.09,0.4546
2209.75,0.47442
2213.4,0.496109
2217.05,0.520374
2220.69,0.544444
2224.33,0.571156
2227.95,0.597822
2231.57,0.625288
2235.18,0.649574
2238.79,0.671873
2242.38,0.688355
2245.97,0.70069
2249.55,0.70915
2253.13,0.711063
2256.69,0.709805
2260.25,0.706163
2263.8,0.698576
2267.35,0.689357
2270.88,0.679373
2274.41,0.668014
2277.93,0.656284
2281.45,0.64181
2284.96,0.628212
2288.46,0.614886
2292.82,0.60135
2296.3,0.594553
2299.78,0.587858
2303.24,0.58267
2306.7,0.577684
2310.16,0.573541
2313.6,0.570813
2317.04,0.570645
2320.47,0.57207
2323.89,0.573361
2327.31,0.569034
2330.72,0.561363
2334.12,0.550336
2337.51,0.538979
2340.9,0.53002
2344.27,0.523434
2347.65,0.519615
2351.01,0.519518
2354.36,0.519377
2357.71,0.519684
2361.05,0.518426
2364.39,0.517347
2367.71,0.51735
2371.03,0.517241
2374.34,0.51895
2377.65,0.521632
2380.94,0.525408
2384.23,0.530131
2387.51,0.53351
2390.79,0.535349
2394.05,0.537899
2397.31,0.5413
2400.56,0.547452
