Wavelength (nm),Absorbance
1600.78,0.765926
1605.52,0.759841
1610.24,0.751821
1614.97,0.743077
1619.68,0.734405
1624.39,0.725934
1629.09,0.717362
1634.95,0.70679
1639.63,0.698926
1644.31,0.690913
1648.97,0.682887
1653.63,0.674744
1658.29,0.666239
1662.93,0.657666
1667.57,0.649011
1672.2,0.641244
1676.82,0.633954
1681.44,0.627913
1686.04,0.623862
1690.64,0.621696
1695.24,0.620278
1699.82,0.618539
1704.4,0.616544
1708.97,0.61412
1713.53,0.61125
1718.09,0.60747
1722.64,0.604304
1727.18,0.60339
1731.71,0.6055
1736.24,0.609195
1740.76,0.611627
1745.27,0.61177
1749.77,0.610046
1754.27,0.608027
1758.76,0.606479
1763.24,0.604436
1767.71,0.6015
1772.18,0.597718
1776.63,0.593656
1781.09,0.590262
1785.53,0.586877
1789.97,0.581802
1794.4,0.574061
1798.82,0.565236
1803.23,0.556334
1807.64,0.548296
1812.04,0.542208
1817.52,0.536763
1821.91,0.533846
1826.28,0.531166
1830.65,0.526978
1835.01,0.521374
1839.36,0.514045
1843.71,0.5062
1848.04,0.498811
1852.37,0.492766
1856.7,0.488487
1861.01,0.48529
1865.32,0.483382
1869.62,0.482242
1873.91,0.481388
1878.2,0.480734
1882.48,0.480367
1886.75,0.480646
1891.01,0.481133
1895.27,0.482234
1899.52,0.484205
1903.76,0.486662
1907.99,0.488852
1912.22,0.490134
1916.43,0.491976
1920.64,0.492996
1924.85,0.494798
1929.04,0.496434
1933.23,0.49875
1937.41,0.502387
1941.59,0.505504
1945.75,0.510811
1949.91,0.516111
1954.06,0.521432
1958.21,0.527042
1962.34,0.532315
1966.47,0.537671
1970.59,0.54223
1974.71,0.54743
1978.82,0.551869
1982.91,0.555946
1988.03,0.560954
1992.11,0.565526
1996.19,0.570615
2000.25,0.576767
2004.31,0.582936
2008.37,0.589923
2012.41,0.597491
2016.45,0.606349
2020.48,0.615783
2024.5,0.625223
2028.52,0.636939
2032.52,0.648677
2036.53,0.662726
2040.52,0.677392
2044.5,0.694775
2048.48,0.713241
2052.45,0.733728
2056.42,0.756502
2060.37,0.77954
2064.32,0.800575
2068.26,0.820246
2072.19,0.837003
2076.12,0.852622
2080.04,0.867748
2083.95,0.882061
2087.85,0.896784
2091.75,0.909364
2095.64,0.920414
2099.52,0.928894
2103.39,0.936262
2107.26,0.941011
2111.12,0.943023
2114.97,0.941654
2118.81,0.939778
2122.65,0.937727
2126.48,0.934515
2130.3,0.932885
2134.11,0.93111
2137.92,0.929035
2141.72,0.926683
2146.46,0.922061
2150.24,0.917864
2154.02,0.912619
2157.78,0.90847
2161.54,0.903448
2165.3,0.89766
2169.04,0.891082
2172.78,0.884066
2176.51,0.875742
2180.23,0.868327
2183.95,0.860444
2187.66,0.853003
2191.36,0.845374
2195.05,0.837607
2198.74,0.830822
2202.41,0.823963
2206.09,0.817735
2209.75,0.812594
2213.4,0.807238
2217.05,0.802484
2220.69,0.798159
2224.33,0.795172
2227.95,0.792658
2231.57,0.79173
2235.18,0.790383
2238.79,0.791265
2242.38,0.793345
2245.97,0.797761
2249.55,0.803318
2253.13,0.811379
2256.69,0.823105
2260.25,0.839934
2263.8,0.861861
2267.35,0.887271
2270.88,0.914758
2274.41,0.937392
2277.93,0.945594
2281.45,0.934112
2284.96,0.915799
2288.46,0.901352
2292.82,0.894882
2296.3,0.896766
2299.78,0.89993
2303.24,0.906268
2306.7,0.912487
2310.16,0.918776
2313.6,0.925037
2317.04,0.930781
2320.47,0.938297
2323.89,0.948283
2327.31,0.959415
2330.72,0.971296
2334.12,0.976197
2337.51,0.971956
2340.9,0.963847
2344.27,0.95478
2347.65,0.950999
2351.01,0.958022
2354.36,0.970088
2357.71,0.9874
2361.05,1.00342
2364.39,1.01666
2367.71,1.02145
2371.03,1.01543
2374.34,1.0042
2377.65,0.991037
2380.94,0.980056
2384.23,0.973857
2387.51,0.972579
2390.79,0.974791
2394.05,0.981968
2397.31,0.989841
2400.56,0.995191
