Wavelength (nm),Absorbance
1600.78,1.1395
1605.52,1.11982
1610.24,1.09995
1614.97,1.08076
1619.68,1.0621
1624.39,1.04365
1629.09,1.02672
1634.95,1.0077
1639.63,0.995168
1644.31,0.984555
1648.97,0.97494
1653.63,0.966359
1658.29,0.958112
1662.93,0.951
1667.57,0.947278
1672.2,0.948894
1676.82,0.959009
1681.44,0.978633
1686.04,0.998879
1690.64,1.00466
1695.24,0.992461
1699.82,0.975302
1704.4,0.967133
1708.97,0.969378
1713.53,0.978605
1718.09,0.992238
1722.64,1.00541
1727.18,1.0121
1731.71,1.01076
1736.24,1.0059
1740.76,1.00064
1745.27,0.997376
1749.77,0.99436
1754.27,0.994065
1758.76,0.993015
1763.24,0.987337
1767.71,0.978291
1772.18,0.967996
1776.63,0.959286
1781.09,0.951946
1785.53,0.945954
1789.97,0.939725
1794.4,0.933202
1798.82,0.925687
1803.23,0.917444
1807.64,0.910961
1812.04,0.906865
1817.52,0.901955
1821.91,0.895854
1826.28,0.884428
1830.65,0.871943
1835.01,0.859255
1839.36,0.84771
1843.71,0.838903
1848.04,0.832212
1852.37,0.827544
1856.7,0.823959
1861.01,0.822288
1865.32,0.820642
1869.62,0.818626
1873.91,0.816616
1878.2,0.814068
1882.48,0.813488
1886.75,0.812605
1891.01,0.812165
1895.27,0.812392
1899.52,0.814423
1903.76,0.813791
1907.99,0.814165
1912.22,0.815835
1916.43,0.816475
1920.64,0.816911
1924.85,0.81927
1929.04,0.820217
1933.23,0.821446
1937.41,0.824534
1941.59,0.826662
1945.75,0.829085
1949.91,0.833637
1954.06,0.836793
1958.21,0.841882
1962.34,0.846662
1966.47,0.852768
1970.59,0.859002
1974.71,0.866876
1978.82,0.876475
1982.91,0.888094
1988.03,0.909514
1992.11,0.929308
1996.19,0.956664
2000.25,0.990017
2004.31,1.03145
2008.37,1.07326
2012.41,1.10658
2016.45,1.12832
2020.48,1.14159
2024.5,1.15822
2028.52,1.18425
2032.52,1.21863
2036.53,1.25953
2040.52,1.30611
2044.5,1.35551
2048.48,1.39534
2052.45,1.43131
2056.42,1.46117
2060.37,1.48638
2064.32,1.50139
2068.26,1.51796
2072.19,1.5256
2076.12,1.53602
2080.04,1.53373
2083.95,1.53462
2087.85,1.53191
2091.75,1.52788
2095.64,1.52174
2099.52,1.51437
2103.39,1.49897
2107.26,1.48789
2111.12,1.47418
2114.97,1.46261
2118.81,1.45573
2122.65,1.44745
2126.48,1.4422
2130.3,1.4372
2134.11,1.42977
2137.92,1.42458
2141.72,1.42245
2146.46,1.42146
2150.24,1.42049
2154.02,1.4148
2157.78,1.40267
2161.54,1.3905
2165.3,1.37218
2169.04,1.35844
2172.78,1.34512
2176.51,1.33902
2180.23,1.34106
2183.95,1.34347
2187.66,1.34404
2191.36,1.3384
2195.05,1.32653
2198.74,1.3121
2202.41,1.30144
2206.09,1.29392
2209.75,1.2895
2213.4,1.28851
2217.05,1.29062
2220.69,1.2944
2224.33,1.29947
2227.95,1.30626
2231.57,1.3177
2235.18,1.33266
2238.79,1.35584
2242.38,1.38902
2245.97,1.42349
2249.55,1.44741
2253.13,1.46072
2256.69,1.46852
2260.25,1.47452
2263.8,1.4841
2267.35,1.49259
2270.88,1.504
2274.41,1.50831
2277.93,1.50789
2281.45,1.5009
2284.96,1.49824
2288.46,1.49983
2292.82,1.5064
2296.3,1.51364
2299.78,1.52166
2303.24,1.53115
2306.7,1.54437
2310.16,1.55447
2313.6,1.56397
2317.04,1.57254
2320.47,1.56748
2323.89,1.56745
2327.31,1.56069
2330.72,1.55608
2334.12,1.5522
2337.51,1.54712
2340.9,1.54714
2344.27,1.54271
2347.65,1.52952
2351.01,1.51983
2354.36,1.5103
2357.71,1.51491
2361.05,1.51582
2364.39,1.52081
2367.71,1.52096
2371.03,1.51925
2374.34,1.52075
2377.65,1.51513
2380.94,1.51127
2384.23,1.51192
2387.51,1.50745
2390.79,1.50418
2394.05,1.50635
2397.31,1.51267
2400.56,1.51734
