顏料,文獻帶位_cm-1,關鍵帶,主帶,說明
辰砂 cinnabar (HgS),253 284 343,253 343,253,硃砂／銀硃。古代至今通用的紅色顏料。
金紅石 rutile (TiO2),144 232 447 609,447 609,447,鈦白 PW6 的一種晶型。顏料級 1938 年起商業生產。
銳鈦礦 anatase (TiO2),143 396 516 639,143 396,143,鈦白的另一晶型。顏料級 1918 年起商業生產。143 帶極強。
酞菁藍 PB15 (CuPc),592 681 747 952 1007 1106 1339 1450 1527 1591,747 1527,1527,銅酞菁。1935 年 11 月以 Monastral Blue 之名上市。
酞菁綠 PG7 (Cl-CuPc),685 742 776 818 977 1080 1215 1281 1339 1538,776 1538,1538,氯化銅酞菁。與 PB15 最大差別在 776 與 1538。
普魯士藍 PB27,276 538 950 2091 2154,2154,2154,亞鐵氰化鐵。1704 年發明。2154 落在拉曼靜默區，極好認。
群青 ultramarine PB29,258 548 808 1096,548,548,天然為青金石，1828 年起有合成品。
石青 azurite,250 403 545 839 1098 1580,403 839,403,鹼式碳酸銅。傳統藍色礦物顏料。
鉛丹 red lead (Pb3O4),121 149 313 390 548,313 548,548,四氧化三鉛。橘紅色。
赤鐵礦 hematite (Fe2O3),225 292 411 613,292 411,292,氧化鐵紅／代赭。
方解石 calcite (CaCO3),282 712 1086,1086 712,1086,常見填料／地仗層材料。
硫酸鋇 barite (BaSO4),453 617 988 1083 1140,988,988,重晶石／立德粉成分。988 為最強帶，沒有它就不是。
石膏 gypsum (CaSO4·2H2O),414 493 619 1008 1135,1008,1008,常見地仗層材料。
聚苯乙烯系樹脂,621 795 1001 1031 1450 1583 1602 2905 3055,1001 1602,1001,現代合成黏合劑。1001 是單取代苯環呼吸振動，又尖又強。
"油／樹脂類黏合劑 (C–H, C=O)",1440 1740 2850 2930,2930,2930,泛指有機黏合劑，不具專一性，只能當輔助資訊。
