wavenumber,intensity
77.3545,0.0000
80.4019,575.0000
83.4475,600.0000
86.4914,585.0000
89.5335,562.0000
92.5738,567.0000
95.6123,558.0000
98.6491,553.0000
101.6840,550.0000
104.7170,553.0000
107.7490,680.0000
110.7790,665.0000
113.8060,518.0000
116.8330,524.0000
119.8570,554.0000
122.8800,556.0000
125.9010,542.0000
128.9200,578.0000
131.9370,577.0000
134.9530,545.0000
137.9670,569.0000
140.9790,547.0000
143.9890,536.0000
146.9980,548.0000
150.0040,598.0000
153.0100,607.0000
156.0130,543.0000
159.0140,533.0000
162.0140,551.0000
165.0120,540.0000
168.0090,529.0000
171.0030,522.0000
173.9960,510.0000
176.9870,517.0000
179.9760,518.0000
182.9640,533.0000
185.9500,559.0000
188.9340,547.0000
191.9160,509.0000
194.8970,504.0000
197.8760,514.0000
200.8530,514.0000
203.8280,518.0000
206.8020,522.0000
209.7740,523.0000
212.7440,534.0000
215.7130,537.0000
218.6790,539.0000
221.6440,524.0000
224.6070,503.0000
227.5690,507.0000
230.5290,503.0000
233.4870,505.0000
236.4430,517.0000
239.3980,516.0000
242.3510,523.0000
245.3020,523.0000
248.2510,526.0000
251.1990,521.0000
254.1450,520.0000
257.0890,537.0000
260.0310,609.0000
262.9720,597.0000
265.9110,513.0000
268.8490,494.0000
271.7840,490.0000
274.7180,499.0000
277.6500,516.0000
280.5810,530.0000
283.5100,530.0000
286.4370,580.0000
289.3620,571.0000
292.2850,510.0000
295.2070,510.0000
298.1280,498.0000
301.0460,506.0000
303.9630,526.0000
306.8780,519.0000
309.7910,532.0000
312.7030,547.0000
315.6130,520.0000
318.5210,509.0000
321.4270,515.0000
324.3320,558.0000
327.2350,568.0000
330.1370,525.0000
333.0360,516.0000
335.9340,512.0000
338.8310,514.0000
341.7250,590.0000
344.6180,590.0000
347.5090,504.0000
350.3990,490.0000
353.2870,504.0000
356.1730,513.0000
359.0570,500.0000
361.9400,503.0000
364.8210,511.0000
367.7000,511.0000
370.5780,531.0000
373.4540,545.0000
376.3280,546.0000
379.2000,528.0000
382.0710,497.0000
384.9410,619.0000
387.8080,638.0000
390.6740,529.0000
393.5380,519.0000
396.4000,511.0000
399.2610,498.0000
402.1200,493.0000
404.9780,506.0000
407.8330,514.0000
410.6870,515.0000
413.5400,529.0000
416.3910,600.0000
419.2400,587.0000
422.0870,504.0000
424.9330,491.0000
427.7760,506.0000
430.6190,510.0000
433.4590,498.0000
436.2980,489.0000
439.1360,599.0000
441.9710,625.0000
444.8050,507.0000
447.6380,510.0000
450.4680,527.0000
453.2970,501.0000
456.1240,495.0000
458.9500,486.0000
461.7740,499.0000
464.5960,525.0000
467.4170,514.0000
470.2360,493.0000
473.0530,494.0000
475.8690,512.0000
478.6830,493.0000
481.4950,515.0000
484.3060,539.0000
487.1150,573.0000
489.9220,573.0000
492.7280,541.0000
495.5320,538.0000
498.3340,555.0000
501.1350,547.0000
503.9340,498.0000
506.7320,495.0000
509.5270,485.0000
512.3210,488.0000
515.1140,500.0000
517.9050,494.0000
520.6940,497.0000
523.4820,501.0000
526.2670,501.0000
529.0520,581.0000
531.8340,564.0000
534.6150,474.0000
537.3950,483.0000
540.1720,482.0000
542.9480,474.0000
545.7230,500.0000
548.4960,503.0000
551.2670,490.0000
554.0360,509.0000
556.8040,505.0000
559.5700,498.0000
562.3350,492.0000
565.0980,474.0000
567.8590,477.0000
570.6190,489.0000
573.3770,491.0000
576.1330,493.0000
578.8880,486.0000
581.6410,491.0000
584.3930,521.0000
587.1430,503.0000
589.8910,464.0000
592.6380,466.0000
595.3830,477.0000
598.1260,494.0000
600.8680,504.0000
603.6080,489.0000
606.3470,477.0000
609.0840,474.0000
611.8190,459.0000
614.5530,462.0000
617.2850,472.0000
620.0150,478.0000
622.7440,489.0000
625.4710,483.0000
628.1970,505.0000
630.9210,508.0000
633.6440,486.0000
636.3640,478.0000
639.0840,473.0000
641.8010,476.0000
644.5170,475.0000
647.2310,498.0000
649.9440,499.0000
652.6550,463.0000
655.3650,466.0000
658.0730,477.0000
660.7790,481.0000
663.4840,497.0000
666.1870,508.0000
668.8880,508.0000
671.5880,510.0000
674.2870,485.0000
676.9830,469.0000
679.6790,480.0000
682.3720,490.0000
685.0640,495.0000
687.7540,478.0000
690.4430,483.0000
693.1300,476.0000
695.8160,465.0000
698.5000,490.0000
701.1820,480.0000
703.8630,474.0000
706.5420,487.0000
709.2200,480.0000
711.8960,467.0000
714.5700,453.0000
717.2430,469.0000
719.9140,481.0000
722.5840,480.0000
725.2520,470.0000
727.9190,468.0000
730.5840,473.0000
733.2470,466.0000
735.9090,482.0000
738.5690,489.0000
741.2270,483.0000
743.8840,450.0000
746.5400,448.0000
749.1940,476.0000
751.8460,477.0000
754.4970,477.0000
757.1460,481.0000
759.7940,467.0000
762.4400,446.0000
765.0840,468.0000
767.7270,489.0000
770.3680,480.0000
773.0080,467.0000
775.6460,448.0000
778.2830,440.0000
780.9180,457.0000
783.5510,460.0000
786.1830,441.0000
788.8130,448.0000
791.4420,454.0000
794.0690,456.0000
796.6950,461.0000
799.3190,451.0000
801.9420,514.0000
804.5630,510.0000
807.1820,445.0000
809.8000,450.0000
812.4160,454.0000
815.0310,443.0000
817.6440,443.0000
820.2560,456.0000
822.8660,463.0000
825.4750,452.0000
828.0820,452.0000
830.6870,442.0000
833.2910,426.0000
835.8930,450.0000
838.4940,458.0000
841.0930,465.0000
843.6910,457.0000
846.2870,433.0000
848.8820,452.0000
851.4750,465.0000
854.0660,456.0000
856.6560,455.0000
859.2450,455.0000
861.8320,461.0000
864.4170,457.0000
867.0010,458.0000
869.5830,457.0000
872.1640,450.0000
874.7430,449.0000
877.3210,448.0000
879.8970,461.0000
882.4720,462.0000
885.0450,458.0000
887.6160,453.0000
890.1870,446.0000
892.7550,444.0000
895.3220,453.0000
897.8870,504.0000
900.4510,498.0000
903.0140,452.0000
905.5750,451.0000
908.1340,465.0000
910.6920,461.0000
913.2480,459.0000
915.8030,475.0000
918.3560,456.0000
920.9080,440.0000
923.4580,463.0000
926.0070,445.0000
928.5540,430.0000
931.1000,457.0000
933.6440,467.0000
