wavenumber,intensity
300.0000,546.7380
302.0000,502.5904
304.0000,453.9255
306.0000,428.7833
308.0000,413.5939
310.0000,403.3373
312.0000,391.9958
314.0000,366.8677
316.0000,361.1919
318.0000,362.8775
320.0000,346.1997
322.0000,316.5454
324.0000,307.2333
326.0000,301.1395
328.0000,288.0748
330.0000,273.9014
332.0000,260.4105
334.0000,277.9482
336.0000,289.9711
338.0000,258.0181
340.0000,216.1304
342.0000,220.3721
344.0000,242.5831
346.0000,237.7125
348.0000,207.1525
350.0000,192.6739
352.0000,200.0266
354.0000,212.6577
356.0000,214.5026
358.0000,206.8802
360.0000,211.3042
362.0000,200.9830
364.0000,172.5785
366.0000,169.6120
368.0000,171.6858
370.0000,174.9628
372.0000,174.3485
374.0000,158.3714
376.0000,137.3577
378.0000,147.8194
380.0000,158.0299
382.0000,138.6575
384.0000,142.5503
386.0000,180.4335
388.0000,223.4779
390.0000,241.9520
392.0000,234.4704
394.0000,225.9098
396.0000,225.0802
398.0000,240.7662
400.0000,277.5691
402.0000,322.0469
404.0000,383.9719
406.0000,441.7216
408.0000,495.4727
410.0000,587.1262
412.0000,660.8992
414.0000,732.7120
416.0000,801.3583
418.0000,836.1497
420.0000,906.2435
422.0000,995.1398
424.0000,1092.7120
426.0000,1196.4327
428.0000,1262.4034
430.0000,1326.7120
432.0000,1419.5708
434.0000,1510.5162
436.0000,1549.8823
438.0000,1601.0012
440.0000,1666.9286
442.0000,1707.6316
444.0000,1709.9519
446.0000,1715.2040
448.0000,1696.9083
450.0000,1633.2607
452.0000,1529.0758
454.0000,1393.4866
456.0000,1250.4865
458.0000,1119.0626
460.0000,995.7708
462.0000,862.1052
464.0000,722.8174
466.0000,595.2926
468.0000,490.5419
470.0000,404.1989
472.0000,321.9343
474.0000,239.8738
476.0000,187.6954
478.0000,179.1863
480.0000,173.0803
482.0000,160.3839
484.0000,155.4695
486.0000,154.7141
488.0000,137.9830
490.0000,124.3835
492.0000,102.2541
494.0000,70.5369
496.0000,47.0507
498.0000,36.6674
500.0000,46.4487
502.0000,60.0001
504.0000,61.2535
506.0000,60.1206
508.0000,59.6966
510.0000,61.4741
512.0000,62.6516
514.0000,62.6635
516.0000,77.4955
518.0000,103.9052
520.0000,128.5484
522.0000,141.2575
524.0000,143.9870
526.0000,154.6370
528.0000,164.1856
530.0000,168.1740
532.0000,186.7745
534.0000,203.1183
536.0000,234.9316
538.0000,253.7337
540.0000,241.9467
542.0000,326.4012
544.0000,284.9240
546.0000,218.2644
548.0000,281.3463
550.0000,148.7066
552.0000,11.8619
554.0000,22.4025
556.0000,142.6443
558.0000,236.7433
560.0000,177.8671
562.0000,185.5739
564.0000,265.3499
566.0000,232.0438
568.0000,293.7034
570.0000,323.5071
572.0000,320.6512
574.0000,382.0161
576.0000,437.9705
578.0000,505.5117
580.0000,557.0281
582.0000,596.2009
584.0000,678.8413
586.0000,748.7474
588.0000,824.2452
590.0000,913.9323
592.0000,991.6660
594.0000,1061.0950
596.0000,1099.3345
598.0000,1145.3590
600.0000,1224.2506
602.0000,1266.4087
604.0000,1258.4147
606.0000,1275.2579
608.0000,1317.7887
610.0000,1299.2156
612.0000,1265.3693
614.0000,1228.6489
616.0000,1162.5481
618.0000,1063.4668
620.0000,980.4824
622.0000,872.2393
624.0000,733.1508
626.0000,607.9888
628.0000,529.7521
630.0000,469.4207
632.0000,400.6919
634.0000,324.9338
636.0000,260.5328
638.0000,213.0545
640.0000,180.2132
642.0000,163.4958
644.0000,157.6074
646.0000,140.4613
648.0000,115.7467
650.0000,104.0844
652.0000,107.3441
654.0000,99.3701
656.0000,76.1952
658.0000,41.7407
660.0000,15.3294
662.0000,14.8488
664.0000,21.6228
666.0000,29.0816
668.0000,49.6180
670.0000,98.3620
672.0000,170.8927
674.0000,241.0816
676.0000,332.5717
678.0000,427.4506
680.0000,450.2266
682.0000,447.8790
684.0000,433.4596
686.0000,398.1534
688.0000,338.1662
690.0000,257.8200
692.0000,205.6463
694.0000,181.9807
696.0000,149.5755
698.0000,102.8870
700.0000,82.6633
702.0000,70.7691
704.0000,54.6340
706.0000,60.2184
708.0000,65.2871
710.0000,79.2060
712.0000,84.4680
714.0000,54.5277
716.0000,28.7178
718.0000,29.7405
720.0000,47.3121
722.0000,58.0979
724.0000,56.0077
726.0000,64.8715
