wavenumber,intensity
77.3545,0.0000
80.4019,592.0000
83.4475,598.0000
86.4914,589.0000
89.5335,592.0000
92.5738,589.0000
95.6123,595.0000
98.6491,603.0000
101.6840,600.0000
104.7170,616.0000
107.7490,755.0000
110.7790,771.0000
113.8060,649.0000
116.8330,678.0000
119.8570,750.0000
122.8800,792.0000
125.9010,815.0000
128.9200,878.0000
131.9370,914.0000
134.9530,928.0000
137.9670,983.0000
140.9790,1016.0000
143.9890,1073.0000
146.9980,1125.0000
150.0040,1229.0000
153.0100,1269.0000
156.0130,1231.0000
159.0140,1270.0000
162.0140,1311.0000
165.0120,1355.0000
168.0090,1428.0000
171.0030,1479.0000
173.9960,1516.0000
176.9870,1609.0000
179.9760,1692.0000
182.9640,1764.0000
185.9500,1848.0000
188.9340,1913.0000
191.9160,1960.0000
194.8970,2015.0000
197.8760,2114.0000
200.8530,2212.0000
203.8280,2282.0000
206.8020,2344.0000
209.7740,2383.0000
212.7440,2434.0000
215.7130,2514.0000
218.6790,2573.0000
221.6440,2604.0000
224.6070,2643.0000
227.5690,2694.0000
230.5290,2748.0000
233.4870,2758.0000
236.4430,2775.0000
239.3980,2832.0000
242.3510,2866.0000
245.3020,2891.0000
248.2510,2875.0000
251.1990,2845.0000
254.1450,2865.0000
257.0890,2884.0000
260.0310,2959.0000
262.9720,2955.0000
265.9110,2873.0000
268.8490,2885.0000
271.7840,2893.0000
274.7180,2895.0000
277.6500,2878.0000
280.5810,2833.0000
283.5100,2829.0000
286.4370,2893.0000
289.3620,2877.0000
292.2850,2838.0000
295.2070,2845.0000
298.1280,2818.0000
301.0460,2841.0000
303.9630,2877.0000
306.8780,2839.0000
309.7910,2844.0000
312.7030,2856.0000
315.6130,2816.0000
318.5210,2851.0000
321.4270,2877.0000
324.3320,2872.0000
327.2350,2891.0000
330.1370,2864.0000
333.0360,2870.0000
335.9340,2906.0000
338.8310,2924.0000
341.7250,3036.0000
344.6180,3019.0000
347.5090,2903.0000
350.3990,2897.0000
353.2870,2941.0000
356.1730,3007.0000
359.0570,3014.0000
361.9400,3044.0000
364.8210,3096.0000
367.7000,3113.0000
370.5780,3167.0000
373.4540,3182.0000
376.3280,3205.0000
379.2000,3223.0000
382.0710,3159.0000
384.9410,3273.0000
387.8080,3324.0000
390.6740,3237.0000
393.5380,3223.0000
396.4000,3226.0000
399.2610,3234.0000
402.1200,3208.0000
404.9780,3228.0000
407.8330,3258.0000
410.6870,3243.0000
413.5400,3268.0000
416.3910,3346.0000
419.2400,3340.0000
422.0870,3304.0000
424.9330,3310.0000
427.7760,3280.0000
430.6190,3275.0000
433.4590,3247.0000
436.2980,3190.0000
439.1360,3282.0000
441.9710,3278.0000
444.8050,3148.0000
447.6380,3164.0000
450.4680,3162.0000
453.2970,3120.0000
456.1240,3159.0000
458.9500,3155.0000
461.7740,3172.0000
464.5960,3205.0000
467.4170,3176.0000
470.2360,3176.0000
473.0530,3194.0000
475.8690,3194.0000
478.6830,3197.0000
481.4950,3252.0000
484.3060,3279.0000
487.1150,3354.0000
489.9220,3387.0000
492.7280,3372.0000
495.5320,3377.0000
498.3340,3341.0000
501.1350,3297.0000
503.9340,3243.0000
506.7320,3222.0000
509.5270,3187.0000
512.3210,3183.0000
515.1140,3197.0000
517.9050,3165.0000
520.6940,3156.0000
523.4820,3154.0000
526.2670,3138.0000
529.0520,3221.0000
531.8340,3205.0000
534.6150,3152.0000
537.3950,3182.0000
540.1720,3140.0000
542.9480,3137.0000
545.7230,3171.0000
548.4960,3136.0000
551.2670,3116.0000
554.0360,3124.0000
556.8040,3093.0000
559.5700,3075.0000
562.3350,3080.0000
565.0980,3071.0000
567.8590,3067.0000
570.6190,3083.0000
573.3770,3135.0000
576.1330,3141.0000
578.8880,3092.0000
581.6410,3115.0000
584.3930,3121.0000
587.1430,3045.0000
589.8910,2995.0000
592.6380,3011.0000
595.3830,3035.0000
598.1260,3041.0000
600.8680,3063.0000
603.6080,3064.0000
606.3470,3050.0000
609.0840,3071.0000
611.8190,3051.0000
614.5530,3019.0000
617.2850,3023.0000
620.0150,3048.0000
622.7440,3059.0000
625.4710,3026.0000
628.1970,3004.0000
630.9210,2979.0000
633.6440,2959.0000
636.3640,2954.0000
639.0840,2940.0000
641.8010,2927.0000
644.5170,2930.0000
647.2310,2935.0000
649.9440,2915.0000
652.6550,2869.0000
655.3650,2861.0000
658.0730,2907.0000
660.7790,2923.0000
663.4840,2910.0000
666.1870,2924.0000
668.8880,2910.0000
671.5880,2882.0000
674.2870,2859.0000
676.9830,2870.0000
679.6790,2863.0000
682.3720,2820.0000
685.0640,2827.0000
687.7540,2829.0000
690.4430,2846.0000
693.1300,2836.0000
695.8160,2824.0000
698.5000,2836.0000
701.1820,2804.0000
703.8630,2831.0000
706.5420,2853.0000
709.2200,2801.0000
711.8960,2832.0000
714.5700,2867.0000
717.2430,2877.0000
719.9140,2880.0000
722.5840,2912.0000
725.2520,2968.0000
727.9190,2993.0000
730.5840,3001.0000
733.2470,2972.0000
735.9090,2941.0000
738.5690,2930.0000
741.2270,2914.0000
743.8840,2809.0000
746.5400,2758.0000
749.1940,2792.0000
751.8460,2752.0000
754.4970,2725.0000
757.1460,2735.0000
759.7940,2697.0000
762.4400,2675.0000
765.0840,2707.0000
767.7270,2697.0000
770.3680,2680.0000
773.0080,2690.0000
775.6460,2668.0000
778.2830,2655.0000
780.9180,2657.0000
783.5510,2646.0000
786.1830,2617.0000
788.8130,2592.0000
791.4420,2612.0000
794.0690,2613.0000
796.6950,2551.0000
799.3190,2552.0000
801.9420,2640.0000
804.5630,2614.0000
807.1820,2555.0000
809.8000,2532.0000
812.4160,2529.0000
815.0310,2533.0000
817.6440,2510.0000
820.2560,2503.0000
822.8660,2539.0000
825.4750,2549.0000
828.0820,2494.0000
830.6870,2489.0000
833.2910,2490.0000
835.8930,2480.0000
838.4940,2496.0000
841.0930,2519.0000
843.6910,2506.0000
846.2870,2489.0000
