wavenumber,intensity
77.3545,0.0000
80.4019,602.0000
83.4475,613.0000
86.4914,605.0000
89.5335,598.0000
92.5738,602.0000
95.6123,603.0000
98.6491,606.0000
101.6840,600.0000
104.7170,614.0000
107.7490,755.0000
110.7790,752.0000
113.8060,633.0000
116.8330,676.0000
119.8570,734.0000
122.8800,750.0000
125.9010,758.0000
128.9200,817.0000
131.9370,851.0000
134.9530,880.0000
137.9670,921.0000
140.9790,931.0000
143.9890,975.0000
146.9980,998.0000
150.0040,1085.0000
153.0100,1137.0000
156.0130,1100.0000
159.0140,1137.0000
162.0140,1194.0000
165.0120,1232.0000
168.0090,1277.0000
171.0030,1317.0000
173.9960,1349.0000
176.9870,1404.0000
179.9760,1470.0000
182.9640,1546.0000
185.9500,1638.0000
188.9340,1683.0000
191.9160,1737.0000
194.8970,1840.0000
197.8760,1943.0000
200.8530,2027.0000
203.8280,2085.0000
206.8020,2144.0000
209.7740,2187.0000
212.7440,2250.0000
215.7130,2318.0000
218.6790,2396.0000
221.6440,2504.0000
224.6070,2574.0000
227.5690,2670.0000
230.5290,2808.0000
233.4870,2963.0000
236.4430,3233.0000
239.3980,3645.0000
242.3510,4239.0000
245.3020,5053.0000
248.2510,6086.0000
251.1990,7131.0000
254.1450,7903.0000
257.0890,8152.0000
260.0310,7846.0000
262.9720,6995.0000
265.9110,5838.0000
268.8490,4827.0000
271.7840,4116.0000
274.7180,3705.0000
277.6500,3485.0000
280.5810,3422.0000
283.5100,3404.0000
286.4370,3426.0000
289.3620,3399.0000
292.2850,3273.0000
295.2070,3164.0000
298.1280,3021.0000
301.0460,2947.0000
303.9630,2918.0000
306.8780,2834.0000
309.7910,2793.0000
312.7030,2798.0000
315.6130,2782.0000
318.5210,2775.0000
321.4270,2790.0000
324.3320,2857.0000
327.2350,2934.0000
330.1370,2984.0000
333.0360,3116.0000
335.9340,3363.0000
338.8310,3666.0000
341.7250,4034.0000
344.6180,4227.0000
347.5090,4203.0000
350.3990,4115.0000
353.2870,3921.0000
356.1730,3714.0000
359.0570,3456.0000
361.9400,3233.0000
364.8210,3125.0000
367.7000,3015.0000
370.5780,2963.0000
373.4540,2967.0000
376.3280,2941.0000
379.2000,2919.0000
382.0710,2890.0000
384.9410,3013.0000
387.8080,3050.0000
390.6740,2959.0000
393.5380,2944.0000
396.4000,2926.0000
399.2610,2941.0000
402.1200,2952.0000
404.9780,2963.0000
407.8330,2969.0000
410.6870,2954.0000
413.5400,2931.0000
416.3910,2998.0000
419.2400,3007.0000
422.0870,2923.0000
424.9330,2905.0000
427.7760,2925.0000
430.6190,2925.0000
433.4590,2911.0000
436.2980,2916.0000
439.1360,3019.0000
441.9710,3018.0000
444.8050,2895.0000
447.6380,2923.0000
450.4680,2960.0000
453.2970,2923.0000
456.1240,2919.0000
458.9500,2913.0000
461.7740,2933.0000
464.5960,2963.0000
467.4170,2963.0000
470.2360,2957.0000
473.0530,2984.0000
475.8690,3012.0000
478.6830,2983.0000
481.4950,3016.0000
484.3060,3026.0000
487.1150,3054.0000
489.9220,3044.0000
492.7280,3009.0000
495.5320,3024.0000
498.3340,3037.0000
501.1350,3048.0000
503.9340,3003.0000
506.7320,2985.0000
509.5270,2992.0000
512.3210,2992.0000
515.1140,3007.0000
517.9050,2979.0000
520.6940,2951.0000
523.4820,2977.0000
526.2670,2996.0000
529.0520,3067.0000
531.8340,3043.0000
534.6150,2972.0000
537.3950,2968.0000
540.1720,2944.0000
542.9480,2984.0000
545.7230,3027.0000
548.4960,2989.0000
551.2670,2986.0000
554.0360,3030.0000
556.8040,3023.0000
559.5700,3025.0000
562.3350,3004.0000
565.0980,2981.0000
567.8590,3013.0000
570.6190,3008.0000
573.3770,3002.0000
576.1330,3030.0000
578.8880,3026.0000
581.6410,3038.0000
584.3930,3065.0000
587.1430,3058.0000
589.8910,3039.0000
592.6380,2995.0000
595.3830,2984.0000
598.1260,3003.0000
600.8680,3042.0000
603.6080,3074.0000
606.3470,3068.0000
609.0840,3066.0000
611.8190,3047.0000
614.5530,3019.0000
617.2850,3034.0000
620.0150,3060.0000
622.7440,3034.0000
625.4710,3052.0000
628.1970,3092.0000
630.9210,3044.0000
633.6440,3016.0000
636.3640,3038.0000
639.0840,3017.0000
641.8010,2983.0000
644.5170,2997.0000
647.2310,3042.0000
649.9440,3031.0000
652.6550,2981.0000
655.3650,2972.0000
658.0730,2969.0000
660.7790,2975.0000
663.4840,2985.0000
666.1870,2989.0000
668.8880,2980.0000
671.5880,2958.0000
674.2870,2932.0000
676.9830,2949.0000
679.6790,2977.0000
682.3720,2956.0000
685.0640,2940.0000
687.7540,2925.0000
690.4430,2954.0000
693.1300,2948.0000
695.8160,2924.0000
698.5000,2946.0000
701.1820,2968.0000
703.8630,2973.0000
706.5420,2948.0000
709.2200,2934.0000
711.8960,2940.0000
714.5700,2953.0000
717.2430,2958.0000
719.9140,2968.0000
722.5840,2977.0000
725.2520,2971.0000
727.9190,2960.0000
730.5840,2971.0000
733.2470,2980.0000
735.9090,2978.0000
738.5690,2981.0000
741.2270,2966.0000
743.8840,2921.0000
746.5400,2899.0000
749.1940,2918.0000
751.8460,2947.0000
754.4970,2941.0000
757.1460,2916.0000
759.7940,2907.0000
762.4400,2905.0000
765.0840,2890.0000
767.7270,2890.0000
770.3680,2912.0000
773.0080,2900.0000
775.6460,2878.0000
778.2830,2866.0000
780.9180,2862.0000
783.5510,2846.0000
786.1830,2801.0000
788.8130,2811.0000
791.4420,2826.0000
794.0690,2823.0000
796.6950,2826.0000
799.3190,2808.0000
801.9420,2853.0000
804.5630,2837.0000
807.1820,2786.0000
809.8000,2797.0000
812.4160,2822.0000
815.0310,2805.0000
817.6440,2772.0000
820.2560,2785.0000
822.8660,2814.0000
825.4750,2808.0000
828.0820,2803.0000
830.6870,2793.0000
833.2910,2782.0000
835.8930,2809.0000
838.4940,2801.0000
841.0930,2832.0000
843.6910,2817.0000
846.2870,2788.0000
848.8820,2811.0000
851.4750,2794.0000
854.0660,2793.0000
856.6560,2795.0000
859.2450,2784.0000
861.8320,2810.0000
864.4170,2813.0000
867.0010,2787.0000
869.5830,2770.0000
872.1640,2773.0000
874.7430,2783.0000
877.3210,2771.0000
879.8970,2760.0000
882.4720,2773.0000
885.0450,2769.0000
887.6160,2733.0000
890.1870,2730.0000
892.7550,2737.0000
895.3220,2740.0000
897.8870,2768.0000
900.4510,2747.0000
903.0140,2689.0000
905.5750,2670.0000
908.1340,2667.0000
910.6920,2638.0000
913.2480,2643.0000
915.8030,2676.0000
918.3560,2644.0000
920.9080,2616.0000
923.4580,2604.0000
926.0070,2568.0000
928.5540,2561.0000
931.1000,2571.0000
933.6440,2576.0000
936.1860,2559.0000
938.7280,2549.0000
941.2670,2593.0000
943.8050,2576.0000
946.3420,2524.0000
948.8770,2555.0000
951.4100,2573.0000
953.9430,2564.0000
956.4730,2575.0000
959.0020,2562.0000
961.5300,2548.0000
964.0560,2584.0000
966.5800,2595.0000
969.1030,2582.0000
971.6250,2592.0000
974.1450,2621.0000
976.6630,2606.0000
979.1800,2558.0000
981.6960,2577.0000
984.2100,2650.0000
986.7220,2634.0000
989.2330,2596.0000
991.7430,2594.0000
994.2510,2602.0000
996.7570,2615.0000
999.2620,2598.0000
1001.7700,2623.0000
1004.2700,2619.0000
1006.7700,2607.0000
1009.2700,2581.0000
1011.7700,2543.0000
1014.2600,2538.0000
1016.7600,2521.0000
1019.2500,2531.0000
1021.7400,2572.0000
1024.2300,2537.0000
1026.7200,2501.0000
1029.2100,2512.0000
1031.6900,2513.0000
1034.1800,2471.0000
1036.6600,2448.0000
1039.1400,2451.0000
1041.6200,2432.0000
1044.1000,2454.0000
1046.5800,2439.0000
1049.0500,2409.0000
1051.5200,2387.0000
1054.0000,2383.0000
1056.4700,2371.0000
1058.9400,2359.0000
