wavenumber,intensity
77.3545,0.0000
80.4019,924.0000
83.4475,967.0000
86.4914,941.0000
89.5335,915.0000
92.5738,918.0000
95.6123,928.0000
98.6491,937.0000
101.6840,929.0000
104.7170,943.0000
107.7490,1218.0000
110.7790,1246.0000
113.8060,1007.0000
116.8330,1046.0000
119.8570,1139.0000
122.8800,1184.0000
125.9010,1193.0000
128.9200,1283.0000
131.9370,1351.0000
134.9530,1391.0000
137.9670,1440.0000
140.9790,1459.0000
143.9890,1524.0000
146.9980,1589.0000
150.0040,1771.0000
153.0100,1850.0000
156.0130,1765.0000
159.0140,1798.0000
162.0140,1877.0000
165.0120,1948.0000
168.0090,2020.0000
171.0030,2055.0000
173.9960,2125.0000
176.9870,2247.0000
179.9760,2354.0000
182.9640,2461.0000
185.9500,2573.0000
188.9340,2692.0000
191.9160,2761.0000
194.8970,2868.0000
197.8760,3012.0000
200.8530,3093.0000
203.8280,3189.0000
206.8020,3311.0000
209.7740,3430.0000
212.7440,3576.0000
215.7130,3680.0000
218.6790,3742.0000
221.6440,3806.0000
224.6070,3883.0000
227.5690,3974.0000
230.5290,4066.0000
233.4870,4094.0000
236.4430,4136.0000
239.3980,4185.0000
242.3510,4197.0000
245.3020,4209.0000
248.2510,4269.0000
251.1990,4294.0000
254.1450,4220.0000
257.0890,4194.0000
260.0310,4343.0000
262.9720,4347.0000
265.9110,4163.0000
268.8490,4119.0000
271.7840,4133.0000
274.7180,4116.0000
277.6500,4096.0000
280.5810,4082.0000
283.5100,4050.0000
286.4370,4183.0000
289.3620,4156.0000
292.2850,4010.0000
295.2070,4009.0000
298.1280,3988.0000
301.0460,3981.0000
303.9630,3966.0000
306.8780,3968.0000
309.7910,4005.0000
312.7030,4022.0000
315.6130,4002.0000
318.5210,3990.0000
321.4270,3986.0000
324.3320,4061.0000
327.2350,4107.0000
330.1370,4074.0000
333.0360,4062.0000
335.9340,4075.0000
338.8310,4100.0000
341.7250,4243.0000
344.6180,4275.0000
347.5090,4152.0000
350.3990,4168.0000
353.2870,4227.0000
356.1730,4280.0000
359.0570,4299.0000
361.9400,4335.0000
364.8210,4391.0000
367.7000,4415.0000
370.5780,4491.0000
373.4540,4536.0000
376.3280,4597.0000
379.2000,4614.0000
382.0710,4519.0000
384.9410,4810.0000
387.8080,4900.0000
390.6740,4705.0000
393.5380,4759.0000
396.4000,4754.0000
399.2610,4752.0000
402.1200,4793.0000
404.9780,4849.0000
407.8330,4891.0000
410.6870,4933.0000
413.5400,5039.0000
416.3910,5260.0000
419.2400,5290.0000
422.0870,5245.0000
424.9330,5385.0000
427.7760,5513.0000
430.6190,5616.0000
433.4590,5727.0000
436.2980,5829.0000
439.1360,6175.0000
441.9710,6370.0000
444.8050,6224.0000
447.6380,6292.0000
450.4680,6313.0000
453.2970,6160.0000
456.1240,6041.0000
458.9500,5891.0000
461.7740,5759.0000
464.5960,5616.0000
467.4170,5403.0000
470.2360,5235.0000
473.0530,5067.0000
475.8690,4935.0000
478.6830,4856.0000
481.4950,4844.0000
484.3060,4803.0000
487.1150,4840.0000
489.9220,4804.0000
492.7280,4671.0000
495.5320,4645.0000
498.3340,4686.0000
501.1350,4666.0000
503.9340,4565.0000
506.7320,4522.0000
509.5270,4522.0000
512.3210,4543.0000
515.1140,4551.0000
517.9050,4522.0000
520.6940,4519.0000
523.4820,4533.0000
526.2670,4495.0000
529.0520,4670.0000
531.8340,4615.0000
534.6150,4407.0000
537.3950,4489.0000
540.1720,4480.0000
542.9480,4454.0000
545.7230,4551.0000
548.4960,4530.0000
551.2670,4519.0000
554.0360,4549.0000
556.8040,4495.0000
559.5700,4527.0000
562.3350,4574.0000
565.0980,4560.0000
567.8590,4577.0000
570.6190,4662.0000
573.3770,4751.0000
576.1330,4772.0000
578.8880,4796.0000
581.6410,4926.0000
584.3930,5027.0000
587.1430,5065.0000
589.8910,5148.0000
592.6380,5254.0000
595.3830,5342.0000
598.1260,5446.0000
600.8680,5623.0000
603.6080,5731.0000
606.3470,5777.0000
609.0840,5831.0000
611.8190,5803.0000
614.5530,5738.0000
617.2850,5661.0000
620.0150,5574.0000
622.7440,5491.0000
625.4710,5353.0000
628.1970,5235.0000
630.9210,5083.0000
633.6440,4939.0000
636.3640,4853.0000
639.0840,4723.0000
641.8010,4617.0000
644.5170,4541.0000
647.2310,4554.0000
649.9440,4495.0000
652.6550,4370.0000
655.3650,4329.0000
658.0730,4298.0000
660.7790,4294.0000
663.4840,4281.0000
666.1870,4255.0000
668.8880,4253.0000
671.5880,4226.0000
674.2870,4156.0000
676.9830,4120.0000
679.6790,4118.0000
682.3720,4124.0000
685.0640,4095.0000
687.7540,4035.0000
690.4430,4063.0000
693.1300,4106.0000
695.8160,4098.0000
698.5000,4081.0000
701.1820,4028.0000
703.8630,4043.0000
706.5420,4092.0000
709.2200,4084.0000
711.8960,4052.0000
714.5700,4022.0000
717.2430,4019.0000
719.9140,3980.0000
722.5840,3970.0000
725.2520,3993.0000
727.9190,3986.0000
730.5840,3959.0000
733.2470,3923.0000
735.9090,3939.0000
738.5690,3957.0000
741.2270,3925.0000
743.8840,3885.0000
746.5400,3872.0000
749.1940,3884.0000
751.8460,3907.0000
754.4970,3884.0000
757.1460,3844.0000
759.7940,3791.0000
762.4400,3773.0000
765.0840,3791.0000
767.7270,3765.0000
770.3680,3751.0000
773.0080,3737.0000
775.6460,3688.0000
778.2830,3674.0000
780.9180,3667.0000
783.5510,3634.0000
786.1830,3614.0000
788.8130,3617.0000
791.4420,3632.0000
794.0690,3620.0000
796.6950,3572.0000
799.3190,3558.0000
801.9420,3693.0000
804.5630,3659.0000
807.1820,3534.0000
809.8000,3498.0000
812.4160,3533.0000
815.0310,3574.0000
817.6440,3526.0000
820.2560,3517.0000
822.8660,3561.0000
825.4750,3549.0000
828.0820,3510.0000
830.6870,3476.0000
833.2910,3446.0000
835.8930,3491.0000
838.4940,3480.0000
841.0930,3513.0000
843.6910,3535.0000
846.2870,3496.0000
848.8820,3486.0000
851.4750,3468.0000
854.0660,3455.0000
856.6560,3458.0000
859.2450,3455.0000
861.8320,3459.0000
864.4170,3462.0000
867.0010,3429.0000
869.5830,3443.0000
872.1640,3472.0000
874.7430,3438.0000
877.3210,3398.0000
879.8970,3398.0000
882.4720,3393.0000
885.0450,3368.0000
887.6160,3359.0000
890.1870,3346.0000
892.7550,3337.0000
895.3220,3328.0000
897.8870,3379.0000
900.4510,3343.0000
903.0140,3258.0000
905.5750,3262.0000
908.1340,3234.0000
910.6920,3197.0000
913.2480,3208.0000
915.8030,3203.0000
918.3560,3161.0000
920.9080,3151.0000
923.4580,3165.0000
926.0070,3136.0000
928.5540,3073.0000
931.1000,3062.0000
933.6440,3078.0000
936.1860,3096.0000
938.7280,3088.0000
941.2670,3091.0000
943.8050,3110.0000
946.3420,3043.0000
948.8770,3027.0000
951.4100,3068.0000
953.9430,3067.0000
956.4730,3054.0000
959.0020,3046.0000
961.5300,3063.0000
964.0560,3047.0000
966.5800,3016.0000
969.1030,3030.0000
971.6250,3033.0000
974.1450,3031.0000
976.6630,3039.0000
979.1800,3028.0000
981.6960,3057.0000
984.2100,3164.0000
986.7220,3146.0000
989.2330,3069.0000
991.7430,3054.0000
994.2510,3013.0000
996.7570,3013.0000
999.2620,3021.0000
1001.7700,3047.0000
1004.2700,3031.0000
1006.7700,3029.0000
1009.2700,3025.0000
1011.7700,2976.0000
1014.2600,2973.0000
1016.7600,2935.0000
1019.2500,2906.0000
1021.7400,2916.0000
1024.2300,2900.0000
1026.7200,2870.0000
1029.2100,2886.0000
1031.6900,2899.0000
1034.1800,2848.0000
1036.6600,2830.0000
1039.1400,2844.0000
1041.6200,2827.0000
1044.1000,2820.0000
1046.5800,2778.0000
1049.0500,2738.0000
1051.5200,2754.0000
1054.0000,2774.0000
1056.4700,2770.0000
1058.9400,2751.0000
1061.4000,2713.0000
1063.8700,2689.0000
1066.3400,2695.0000
1068.8000,2668.0000
1071.2600,2664.0000
1073.7200,2705.0000
1076.1800,2658.0000
1078.6400,2632.0000
1081.1000,2645.0000
1083.5500,2631.0000
1086.0000,2615.0000
1088.4600,2582.0000
1090.9100,2597.0000
1093.3500,2694.0000
1095.8000,2692.0000
1098.2500,2574.0000
1100.6900,2599.0000
1103.1400,2640.0000
1105.5800,2598.0000
1108.0200,2600.0000
1110.4600,2620.0000
1112.8900,2647.0000
1115.3300,2645.0000
1117.7600,2590.0000
1120.2000,2554.0000
1122.6300,2550.0000
1125.0600,2583.0000
1127.4900,2569.0000
1129.9100,2541.0000
1132.3400,2559.0000
1134.7600,2563.0000
1137.1900,2535.0000
1139.6100,2506.0000
1142.0300,2523.0000
1144.4400,2519.0000
1146.8600,2490.0000
1149.2800,2515.0000
1151.6900,2500.0000
1154.1000,2464.0000
1156.5200,2455.0000
1158.9200,2455.0000
1161.3300,2498.0000
1163.7400,2479.0000
1166.1500,2430.0000
1168.5500,2437.0000
1170.9500,2417.0000
1173.3500,2411.0000
1175.7500,2431.0000
1178.1500,2423.0000
1180.5500,2389.0000
1182.9400,2360.0000
1185.3400,2366.0000
1187.7300,2383.0000
1190.1200,2391.0000
1192.5100,2393.0000
1194.9000,2380.0000
1197.2900,2350.0000
1199.6700,2331.0000
1202.0500,2328.0000
1204.4400,2327.0000
1206.8200,2352.0000
1209.2000,2368.0000
1211.5800,2433.0000
1213.9500,2444.0000
1216.3300,2340.0000
1218.7000,2299.0000
1221.0800,2292.0000
1223.4500,2280.0000
1225.8200,2273.0000
1228.1800,2278.0000
1230.5500,2313.0000
1232.9200,2319.0000
1235.2800,2343.0000
1237.6400,2350.0000
1240.0100,2310.0000
1242.3600,2301.0000
1244.7200,2268.0000
1247.0800,2317.0000
1249.4400,2326.0000
1251.7900,2286.0000
1254.1400,2294.0000
1256.4900,2300.0000
1258.8400,2346.0000
1261.1900,2320.0000
1263.5400,2253.0000
1265.8900,2254.0000
1268.2300,2243.0000
1270.5700,2254.0000
1272.9200,2261.0000
1275.2600,2233.0000
1277.5900,2263.0000
1279.9300,2259.0000
1282.2700,2230.0000
1284.6000,2241.0000
1286.9400,2262.0000
1289.2700,2226.0000
1291.6000,2168.0000
1293.9300,2132.0000
1296.2600,2160.0000
1298.5800,2215.0000
1300.9100,2198.0000
1303.2300,2147.0000
1305.5500,2122.0000
1307.8700,2122.0000
1310.1900,2110.0000
1312.5100,2121.0000
1314.8300,2105.0000
1317.1400,2092.0000
1319.4600,2108.0000
1321.7700,2063.0000
1324.0800,2034.0000
1326.3900,2043.0000
1328.7000,2050.0000
1331.0000,2058.0000
1333.3100,2056.0000
1335.6100,2159.0000
1337.9200,2139.0000
1340.2200,2007.0000
1342.5200,2037.0000
1344.8200,2046.0000
1347.1100,2003.0000
1349.4100,1984.0000
1351.7000,2001.0000
1354.0000,2055.0000
1356.2900,2044.0000
1358.5800,1992.0000
1360.8700,1975.0000
1363.1600,1966.0000
1365.4400,1943.0000
1367.7300,1945.0000
1370.0100,1967.0000
1372.2900,1983.0000
1374.5800,1980.0000
1376.8500,1980.0000
1379.1300,1971.0000
1381.4100,1990.0000
1383.6900,1989.0000
1385.9600,1949.0000
1388.2300,1961.0000
1390.5000,1973.0000
1392.7700,1959.0000
1395.0400,1941.0000
1397.3100,1956.0000
1399.5800,1949.0000
1401.8400,1933.0000
1404.1000,1922.0000
1406.3700,1912.0000
1408.6300,1928.0000
1410.8900,1943.0000
1413.1400,1933.0000
1415.4000,1921.0000
1417.6600,1916.0000
1419.9100,1910.0000
1422.1600,1935.0000
1424.4100,1913.0000
1426.6600,1855.0000
1428.9100,1870.0000
1431.1600,1866.0000
1433.4000,1840.0000
1435.6500,1944.0000
1437.8900,1936.0000
1440.1300,1842.0000
1442.3700,1828.0000
1444.6100,1788.0000
1446.8500,1796.0000
1449.0900,1810.0000
1451.3200,1807.0000
1453.5600,1795.0000
1455.7900,1801.0000
1458.0200,1827.0000
1460.2500,1826.0000
1462.4800,1777.0000
1464.7100,1757.0000
1466.9300,1757.0000
1469.1600,1742.0000
1471.3800,1754.0000
1473.6000,1744.0000
1475.8200,1718.0000
1478.0400,1700.0000
1480.2600,1706.0000
1482.4700,1701.0000
1484.6900,1678.0000
1486.9000,1681.0000
1489.1200,1693.0000
1491.3300,1663.0000
1493.5400,1646.0000
1495.7500,1689.0000
1497.9500,1698.0000
1500.1600,1692.0000
1502.3600,1683.0000
1504.5700,1678.0000
1506.7700,1703.0000
1508.9700,1714.0000
1511.1700,1653.0000
1513.3700,1651.0000
1515.5700,1667.0000
1517.7600,1617.0000
1519.9500,1660.0000
1522.1500,1684.0000
1524.3400,1824.0000
1526.5300,1829.0000
1528.7200,1655.0000
1530.9100,1635.0000
1533.0900,1624.0000
1535.2800,1625.0000
1537.4600,1653.0000
1539.6400,1637.0000
1541.8300,1627.0000
1544.0100,1660.0000
1546.1800,1624.0000
1548.3600,1591.0000
1550.5400,1767.0000
1552.7100,1764.0000
1554.8900,1593.0000
1557.0600,1780.0000
1559.2300,1764.0000
1561.4000,1579.0000
1563.5700,1576.0000
1565.7300,1586.0000
1567.9000,1574.0000
1570.0600,1561.0000
1572.2300,1569.0000
1574.3900,1538.0000
1576.5500,1532.0000
1578.7100,1525.0000
1580.8700,1515.0000
1583.0200,1516.0000
1585.1800,1510.0000
1587.3300,1495.0000
1589.4900,1483.0000
1591.6400,1485.0000
1593.7900,1504.0000
1595.9400,1506.0000
1598.0800,1489.0000
1600.2300,1472.0000
1602.3800,1473.0000
1604.5200,1468.0000
1606.6600,1463.0000
1608.8000,1480.0000
1610.9400,1471.0000
1613.0800,1430.0000
1615.2200,1436.0000
1617.3600,1443.0000
1619.4900,1411.0000
1621.6200,1426.0000
1623.7600,1443.0000
1625.8900,1450.0000
1628.0200,1435.0000
1630.1500,1458.0000
1632.2700,1467.0000
1634.4000,1431.0000
1636.5300,1457.0000
1638.6500,1453.0000
1640.7700,1425.0000
1642.8900,1436.0000
1645.0100,1523.0000
1647.1300,1540.0000
1649.2500,1466.0000
1651.3600,1447.0000
1653.4800,1414.0000
1655.5900,1400.0000
1657.7100,1416.0000
1659.8200,1418.0000
1661.9300,1415.0000
1664.0400,1425.0000
1666.1400,1425.0000
1668.2500,1397.0000
1670.3500,1404.0000
1672.4600,1417.0000
1674.5600,1403.0000
1676.6600,1379.0000
1678.7600,1362.0000
1680.8600,1392.0000
1682.9600,1382.0000
1685.0500,1352.0000
1687.1500,1362.0000
1689.2400,1336.0000
1691.3300,1351.0000
1693.4200,1376.0000
1695.5100,1370.0000
1697.6000,1367.0000
1699.6900,1331.0000
1701.7800,1337.0000
1703.8600,1342.0000
1705.9500,1341.0000
1708.0300,1331.0000
1710.1100,1324.0000
1712.1900,1328.0000
1714.2700,1304.0000
1716.3500,1280.0000
1718.4200,1310.0000
1720.5000,1324.0000
1722.5700,1300.0000
1724.6400,1440.0000
1726.7200,1417.0000
1728.7900,1267.0000
1730.8500,1291.0000
1732.9200,1281.0000
1734.9900,1246.0000
1737.0500,1248.0000
1739.1200,1250.0000
1741.1800,1219.0000
1743.2400,1203.0000
1745.3000,1223.0000
1747.3600,1220.0000
1749.4200,1215.0000
1751.4800,1242.0000
1753.5300,1244.0000
1755.5900,1220.0000
1757.6400,1195.0000
1759.6900,1175.0000
1761.7400,1196.0000
1763.7900,1195.0000
1765.8400,1167.0000
1767.8900,1184.0000
1769.9300,1189.0000
1771.9800,1181.0000
1774.0200,1209.0000
1776.0700,1203.0000
1778.1100,1159.0000
1780.1500,1151.0000
1782.1900,1167.0000
1784.2200,1183.0000
1786.2600,1159.0000
1788.2900,1145.0000
